# usr,tau,hsb,hlb,hbb,hsbb,hlwebb,tsr,qsr,zo,zot,zoq,Cd,Ch,Ce,L,zeta,dT_skinx,dq_skinx,dz_skin,Urf,Trf,Qrf,RHrf,UrfN,TrfN,QrfN,lw_net,sw_net,Le,rhoa,UN,U10,U10N,Cdn_10,Chn_10,Cen_10,hrain,Qs,Evap,T10,T10N,Q10,Q10N,RH10,P10,rhoa10,gust,wc_frac,Edis
9.415450083182833052e-02,1.064453550755981200e-02,1.416035124633696718e+01,1.725444181924926568e+01,1.539137309827929734e+01,1.518956623730514899e+01,8.122696319381209618e-01,-1.198286176698777350e-01,-5.909672213826502304e-05,1.612605834063546840e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.152135821700420474e-03,1.656298250363276610e-03,1.656298250402390287e-03,-4.842593814400169450e+00,-2.065009039218511422e+00,3.616461381129881247e-01,1.643140659948190696e-01,1.719510435101191236e-03,2.666151553216120185e+00,4.864809987596016683e+00,5.236289921830131533e+00,9.671572133601159749e+01,3.017562652881294660e+00,4.139274465279199511e+00,4.878472465553356230e+00,-9.477675450777080357e+01,0.000000000000000000e+00,2.482261199999999721e+06,1.249248847087409020e+00,3.017562652881294660e+00,2.666151553216120185e+00,3.017562652881294660e+00,8.994162978951580813e-04,1.086316483983485815e-03,1.086316483983485815e-03,0.000000000000000000e+00,6.509973674189006410e+00,2.502395418713283110e-02,4.864809987596016683e+00,4.139274465279199511e+00,5.236289921830131533e+00,4.878472465553356230e+00,9.671572133601159749e+01,1.000122728100320046e+03,1.248968733633978978e+00,7.655729873415750841e-01,7.484026512477760925e-04,3.174760945248921665e-03
1.007952677114425516e-01,1.224454254721846387e-02,1.615737493509367795e+01,1.901927446568374336e+01,1.751493615442623053e+01,1.729238513486351891e+01,9.147448304946753650e-01,-1.275789787350156412e-01,-6.078259758129496247e-05,1.548026929077757119e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.134635754650899003e-03,1.633981123344239832e-03,1.633981123350886425e-03,-5.223531857580421267e+00,-1.914413518027642480e+00,3.516660251615010835e-01,1.597242624444583647e-01,1.619871015841437478e-03,2.883673488410479990e+00,4.691492709609370593e+00,5.193431342559049035e+00,9.714289037370490121e+01,3.248797952540151801e+00,3.937788000135674871e+00,4.834342952721572217e+00,-9.508039763275098721e+01,0.000000000000000000e+00,2.482255274999999907e+06,1.250627876311944053e+00,3.248797952540151801e+00,2.883673488410479990e+00,3.248797952540151801e+00,8.939294163989193725e-04,1.082997882717998562e-03,1.082997882717998562e-03,0.000000000000000000e+00,6.512386637982022108e+00,2.758354016448267415e-02,4.691492709609370593e+00,3.937788000135674871e+00,5.193431342559049035e+00,4.834342952721572217e+00,9.714289037370490121e+01,1.000620752712409967e+03,1.250402726090183769e+00,7.991032321328516153e-01,1.003013260396638144e-03,3.921522383374506822e-03
1.039544150649371196e-01,1.303205663419222671e-02,1.817002016182289736e+01,2.079537805276322970e+01,1.965447612669548860e+01,1.941112268983112799e+01,1.013554296403192501e+00,-1.389481301126844204e-01,-6.436658386929716236e-05,1.523822128607153743e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.134391681196479000e-03,1.636611393034523819e-03,1.636611393035376652e-03,-5.108904337277204277e+00,-1.957366852034170268e+00,3.541357148145303224e-01,1.612231553734034539e-01,1.573917291801464049e-03,2.972707465156750217e+00,4.494964026833477178e+00,5.135096535612215796e+00,9.743024654702101373e+01,3.352689685471180958e+00,3.668113352286733075e+00,4.752064729085303973e+00,-9.603625021776612414e+01,0.000000000000000000e+00,2.482144674999999814e+06,1.252092255457274428e+00,3.352689685471180958e+00,2.972707465156750217e+00,3.352689685471180958e+00,8.918270973852860176e-04,1.081723650542355157e-03,1.081723650542355157e-03,0.000000000000000000e+00,6.529052615377820779e+00,3.016075643936734843e-02,4.494964026833477178e+00,3.668113352286733075e+00,5.135096535612215796e+00,4.752064729085303973e+00,9.743024654702101373e+01,1.001091964710480056e+03,1.251921445414399425e+00,8.302285343259165895e-01,1.124439919301150909e-03,4.309621915659932884e-03
1.040869990855005089e-01,1.305763602120590082e-02,1.959716165882779038e+01,2.140760785950205758e+01,2.112553203832302628e+01,2.087497951709430311e+01,1.070049460050822798e+00,-1.494452292028278506e-01,-6.607141780879100771e-05,1.519023100789751038e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.142372869390129988e-03,1.651154378233146789e-03,1.651154378232404544e-03,-4.773242395709207386e+00,-2.095011979485739584e+00,3.588727925831604049e-01,1.623739489640119715e-01,1.571400168611606371e-03,2.959872017059050009e+00,4.186797114508606477e+00,5.059422364102973191e+00,9.813204058164473054e+01,3.350725137558949740e+00,3.277746329326709507e+00,4.657520780776778224e+00,-9.602186434069082566e+01,0.000000000000000000e+00,2.482371799999999814e+06,1.253981697808689511e+00,3.350725137558949740e+00,2.959872017059050009e+00,3.350725137558949740e+00,8.914072017414682424e-04,1.081468968594349401e-03,1.081468968594349401e-03,0.000000000000000000e+00,6.481574536898316197e+00,3.104586842881772168e-02,4.186797114508606477e+00,3.277746329326709507e+00,5.059422364102973191e+00,4.657520780776778224e+00,9.813204058164473054e+01,1.001473983453589994e+03,1.253848451495897853e+00,8.503039354288145502e-01,1.122105380631032313e-03,4.324606356073809263e-03
1.175053971911976525e-01,1.673003893576178319e-02,2.538751901556187107e+01,2.581790531309662740e+01,2.723271387508950880e+01,2.693022291451120864e+01,1.353411648362421449e+00,-1.711892534976323099e-01,-7.046227334342619901e-05,1.480547066318782781e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.123712962554288897e-03,1.623602787775518677e-03,1.623602787775572020e-03,-5.329071292634737667e+00,-1.876499572040049912e+00,3.363732841218216585e-01,1.526420425129139391e-01,1.407472751185618156e-03,3.381029242129999890e+00,3.759658879985941393e+00,4.982095948968877863e+00,9.961202932353565132e+01,3.803377394891972241e+00,2.754951936143915425e+00,4.568554013008427006e+00,-9.218916025784524493e+01,0.000000000000000000e+00,2.482241450000000186e+06,1.256210776105951998e+00,3.803377394891972241e+00,3.381029242129999890e+00,3.803377394891972241e+00,8.880029379551470769e-04,1.079401940552322456e-03,1.079401940552322456e-03,0.000000000000000000e+00,6.513827455255190912e+00,3.744376242172084424e-02,3.759658879985941393e+00,2.754951936143915425e+00,4.982095948968877863e+00,4.568554013008427006e+00,9.961202932353565132e+01,1.001773922866949988e+03,1.256217642562550862e+00,9.252286894000844031e-01,1.696394004703099178e-03,6.267165601381006514e-03
1.273955380032236462e-01,1.976134848032290101e-02,2.779085163191509622e+01,2.870815417077054121e+01,2.983869945505839638e+01,2.950298669716605460e+01,1.462633224703787427e+00,-1.726946748511956620e-01,-7.219242503182897593e-05,1.509916705106464917e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.109318997592079669e-03,1.595113336639589034e-03,1.595113336639045849e-03,-6.200342619890761853e+00,-1.612814099646670885e+00,2.221135290809408136e-01,9.972377032116154505e-02,1.315391489326790198e-03,3.704152651639129878e+00,3.621500971493825993e+00,4.896602929457417375e+00,9.890265369108089999e+01,4.134032678661503368e+00,2.658484398657331660e+00,4.494028259457822472e+00,-4.481540783767977842e+01,0.000000000000000000e+00,2.482642374999999534e+06,1.257318362412694235e+00,4.134032678661503368e+00,3.704152651639129878e+00,4.134032678661503368e+00,8.906075901308132137e-04,1.080983809199618107e-03,1.080983809199618107e-03,0.000000000000000000e+00,6.487066526359993368e+00,4.162877265589812192e-02,3.621500971493825993e+00,2.658484398657331660e+00,4.896602929457417375e+00,4.494028259457822472e+00,9.890265369108089999e+01,1.002152135353029962e+03,1.257384582060027123e+00,9.536829142613967303e-01,2.158143824371500704e-03,8.014034417456423337e-03
1.207106828107738505e-01,1.769802366483664430e-02,2.498063151191736608e+01,2.737246700159873569e+01,2.693188143887751806e+01,2.661200440167094072e+01,1.340841707675460182e+00,-1.639937318504693098e-01,-7.272510576292256850e-05,1.488146232426270544e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.113548906153354837e-03,1.605051510745339602e-03,1.605051510745217954e-03,-5.845195451347401594e+00,-1.710806778530366445e+00,1.733875962767475187e-01,7.826106498859282390e-02,1.390437666493690976e-03,3.497980575472740217e+00,3.970576112482366860e+00,4.954455821724191189e+00,9.766144343372124581e+01,3.915607657948970921e+00,3.037419915098926726e+00,4.540635839812223296e+00,-2.246690979975745606e+01,0.000000000000000000e+00,2.482429074999999721e+06,1.256050276985949621e+00,3.915607657948970921e+00,3.497980575472740217e+00,3.915607657948970921e+00,8.886806913039990534e-04,1.079813779698705336e-03,1.079813779698705336e-03,0.000000000000000000e+00,6.548379985905637746e+00,3.969534606170186525e-02,3.970576112482366860e+00,3.037419915098926726e+00,4.954455821724191189e+00,4.540635839812223296e+00,9.766144343372124581e+01,1.002387172700440033e+03,1.256051105635388687e+00,9.216206897782608376e-01,1.849359094739275308e-03,6.808026087293478010e-03
1.166693640413082600e-01,1.651721043147773987e-02,2.405691960005708552e+01,2.587950646970166702e+01,2.590220325394901835e+01,2.559969773691755535e+01,1.284804199968980987e+00,-1.632760937937419998e-01,-7.107854304343118562e-05,1.482096170930715106e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.120294492015774020e-03,1.617470338367450787e-03,1.617470338367320249e-03,-5.489878252618929366e+00,-1.821534019489326806e+00,1.737519681657099524e-01,7.786439612027962198e-02,1.436531275709736514e-03,3.364934544498909830e+00,3.893233861609439739e+00,4.946170459721363599e+00,9.807501267562005864e+01,3.779215730465069978e+00,2.944367595632173096e+00,4.533103058599412094e+00,-2.263504011567718166e+01,0.000000000000000000e+00,2.482695699999999721e+06,1.257005419772262655e+00,3.779215730465069978e+00,3.364934544498909386e+00,3.779215730465069534e+00,8.881413181023258994e-04,1.079486040488460401e-03,1.079486040488460401e-03,0.000000000000000000e+00,6.495390046168022735e+00,3.752623541053622114e-02,3.893233861609439739e+00,2.944367595632173096e+00,4.946170459721363599e+00,4.533103058599412094e+00,9.807501267562005864e+01,1.002845867538999983e+03,1.256983011451527243e+00,9.095935894381879105e-01,1.663986397920172401e-03,6.142937550099670033e-03
1.111115905503488738e-01,1.493352448923919093e-02,2.349447728126153834e+01,2.576601850682181549e+01,2.532876810985323246e+01,2.502806469533000211e+01,1.242255768297518825e+00,-1.673444305716725311e-01,-7.426616620108027948e-05,1.485689145132259378e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.136069151689852704e-03,1.644499265107970737e-03,1.644499265107965316e-03,-4.850408350312437555e+00,-2.061682084840517071e+00,2.021380686359233458e-01,9.054623572526221409e-02,1.500483341399339076e-03,3.170507939176399947e+00,3.812207480293683837e+00,4.878802474406619183e+00,9.731545641089323340e+01,3.585187208049423813e+00,2.799499015903117893e+00,4.429370277154863977e+00,-3.156868627298167240e+01,0.000000000000000000e+00,2.482705574999999721e+06,1.257684548221241538e+00,3.585187208049423813e+00,3.170507939176399947e+00,3.585187208049423813e+00,8.884618435186632333e-04,1.079680813264768426e-03,1.079680813264768426e-03,0.000000000000000000e+00,6.479658948149025655e+00,3.736152508722608012e-02,3.812207480293683837e+00,2.799499015903117893e+00,4.878802474406619183e+00,4.429370277154863977e+00,9.731545641089323340e+01,1.003044062379530033e+03,1.257650753766444973e+00,9.027662314777628039e-01,1.410711022133624400e-03,5.288419497950730061e-03
1.159442161928113807e-01,1.629169577094554539e-02,2.676400136706288535e+01,2.793957040812807335e+01,2.875176574932652329e+01,2.842590273584068328e+01,1.371812366318434284e+00,-1.823563695412030172e-01,-7.703133951750745301e-05,1.474917951584248574e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.134539559646211698e-03,1.643249886157322707e-03,1.643249886157361088e-03,-4.855708893918665225e+00,-2.059431530692478862e+00,2.944894290309749696e-01,1.315116735857653207e-01,1.429838910772955867e-03,3.310928467316390122e+00,3.346709874154548015e+00,4.755412754887570870e+00,9.803815639270227678e+01,3.743481126830345840e+00,2.243541817236132996e+00,4.289410314988422179e+00,-6.887234722330347836e+01,0.000000000000000000e+00,2.482822100000000093e+06,1.259962393514002965e+00,3.743481126830345840e+00,3.310928467316389678e+00,3.743481126830345396e+00,8.874991456072648874e-04,1.079095707563356397e-03,1.079095707563356397e-03,0.000000000000000000e+00,6.416037967970211753e+00,4.051134129556083902e-02,3.346709874154548015e+00,2.243541817236132996e+00,4.755412754887570870e+00,4.289410314988422179e+00,9.803815639270227678e+01,1.003157968023090007e+03,1.260005617819950352e+00,9.416296134131350026e-01,1.616402555342938592e-03,6.023584595853650504e-03
