DN,SurfaceSalCorrected,BottomSalCorrected,BottomSalBad,SurfaceTemp,BottomTemp,BottomTempBad,BottomPressure,dayDN,surfaceRiver,bottomRiver,EstimatedTemp
2013-10-30 15:30:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 15:35:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 15:40:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 15:45:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 15:50:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 15:55:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 16:00:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 16:05:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 16:10:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 16:15:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 16:20:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 16:25:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 16:30:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 16:35:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 16:40:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 16:45:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 16:50:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 16:55:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
2013-10-30 17:00:00,,,False,,,False,,2013-10-30,10.348980273239647,10.17346032914626,10.261220301192953
