DN,SurfaceTemp,Temperature,SurfaceSalCorrected,Salinity,dayDN,dailyAverage,oceanSalEstimate,AvgEstimatedTemp
2013-10-30 20:25:00,9.23,9.28,32.147748406750566,31.30009302725777,2013-10-30,12.958333333333334,31.72392071700417,10.489444444444445
2013-10-31 06:05:00,9.48,9.28,33.42400064239057,31.30009302725777,2013-10-31,13.154166666666667,32.36204683482417,10.638055555555555
2013-11-01 06:55:00,10.0,9.52,33.12871315705684,31.336931379934025,2013-11-01,13.262500000000001,32.23282226849543,10.9275
2013-11-02 18:35:00,10.269999999664725,10.12,33.1242988705719,31.215867239042907,2013-11-02,12.783333333333333,32.17008305480741,11.057777777666018
2013-11-03 17:55:00,9.819999999664724,10.12,33.23786201962421,31.215867239042907,2013-11-03,12.173913043478262,32.22686462933356,10.704637681047663
2013-11-04 08:10:00,9.74,9.93,33.216152064342616,31.480853803705337,2013-11-04,12.066666666666668,32.348502934023976,10.57888888888889
2013-11-05 09:05:00,9.9,10.05,33.15448416887934,31.445278791974943,2013-11-05,11.991666666666667,32.299881480427146,10.647222222222224
2013-11-06 08:50:00,10.06000000167638,10.05,33.06407933718084,31.445278791974943,2013-11-06,12.025,32.25467906457789,10.71166666722546
2013-11-07 10:45:00,10.190000000670551,10.37000000067055,33.04113194316447,31.449034170910764,2013-11-07,11.9,32.24508305703762,10.820000000447033
2013-11-08 00:00:00,10.26,10.34,32.94793085912798,31.54408150470136,2013-11-08,11.733333333333334,32.246006181914666,10.777777777777779
2013-11-09 13:45:00,9.91000000435859,10.16,33.0372297860209,31.54084622238402,2013-11-09,11.304166666666667,32.28903800420246,10.45805555700842
2013-11-10 14:20:00,10.27,10.62,32.91585092641039,31.42449093933269,2013-11-10,11.241666666666667,32.17017093287154,10.710555555555556
2013-11-11 01:50:00,10.66,10.62,32.75549650852962,31.42449093933269,2013-11-11,11.35,32.08999372393115,10.876666666666667
2013-11-12 04:05:00,11.03,10.87,32.46619886400426,31.35856155327837,2013-11-12,11.5875,31.912380208641316,11.1625
