DN,surfaceRiver,bottomRiver,EstimatedTemp,riverSalinity
2012-12-12 17:15:00,7.7314795918367345,8.33544698245855,8.033463287147642,0
2012-12-12 17:20:00,7.7314795918367345,8.33544698245855,8.030673519446186,0
2012-12-12 17:25:00,7.7314795918367345,8.33544698245855,8.027883751744731,0
2012-12-12 17:30:00,7.7314795918367345,8.33544698245855,8.025093984043275,0
2012-12-12 17:35:00,7.7314795918367345,8.33544698245855,8.022304216341821,0
2012-12-12 17:40:00,7.7314795918367345,8.33544698245855,8.019514448640365,0
2012-12-12 17:45:00,7.7314795918367345,8.33544698245855,8.016724680938909,0
2012-12-12 17:50:00,7.7314795918367345,8.33544698245855,8.013934913237454,0
2012-12-12 17:55:00,7.7314795918367345,8.33544698245855,8.011145145535998,0
2012-12-12 18:00:00,7.7314795918367345,8.33544698245855,8.008355377834542,0
2012-12-12 18:05:00,7.7314795918367345,8.33544698245855,8.005565610133088,0
2012-12-12 18:10:00,7.7314795918367345,8.33544698245855,8.002775842431632,0
2012-12-12 18:15:00,7.7314795918367345,8.33544698245855,7.9999860747301765,0
2012-12-12 18:20:00,7.7314795918367345,8.33544698245855,7.997196307028721,0
2012-12-12 18:25:00,7.7314795918367345,8.33544698245855,7.994406539327266,0
2012-12-12 18:30:00,7.7314795918367345,8.33544698245855,7.991616771625811,0
2012-12-12 18:35:00,7.7314795918367345,8.33544698245855,7.988827003924355,0
2012-12-12 18:40:00,7.7314795918367345,8.33544698245855,7.9860372362228995,0
2012-12-12 18:45:00,7.7314795918367345,8.33544698245855,7.983247468521444,0
2012-12-12 18:50:00,7.7314795918367345,8.33544698245855,7.980457700819989,0
2012-12-12 18:55:00,7.7314795918367345,8.33544698245855,7.977667933118533,0
2012-12-12 19:00:00,7.7314795918367345,8.33544698245855,7.974878165417078,0
2012-12-12 19:05:00,7.7314795918367345,8.33544698245855,7.9720883977156225,0
2012-12-12 19:10:00,7.7314795918367345,8.33544698245855,7.969298630014167,0
2012-12-12 19:15:00,7.7314795918367345,8.33544698245855,7.966508862312712,0
2012-12-12 19:20:00,7.7314795918367345,8.33544698245855,7.963719094611256,0
2012-12-12 19:25:00,7.7314795918367345,8.33544698245855,7.960929326909801,0
2012-12-12 19:30:00,7.7314795918367345,8.33544698245855,7.9581395592083455,0
2012-12-12 19:35:00,7.7314795918367345,8.33544698245855,7.95534979150689,0
2012-12-12 19:40:00,7.7314795918367345,8.33544698245855,7.952560023805434,0
2012-12-12 19:45:00,7.7314795918367345,8.33544698245855,7.949770256103979,0
2012-12-12 19:50:00,7.7314795918367345,8.33544698245855,7.946980488402524,0
2012-12-12 19:55:00,7.7314795918367345,8.33544698245855,7.9441907207010685,0
2012-12-12 20:00:00,7.7314795918367345,8.33544698245855,7.941400952999613,0
2012-12-12 20:05:00,7.7314795918367345,8.33544698245855,7.938611185298157,0
2012-12-12 20:10:00,7.7314795918367345,8.33544698245855,7.935821417596702,0
2012-12-12 20:15:00,7.7314795918367345,8.33544698245855,7.933031649895247,0
2012-12-12 20:20:00,7.7314795918367345,8.33544698245855,7.9302418821937914,0
2012-12-12 20:25:00,7.7314795918367345,8.33544698245855,7.927452114492335,0
2012-12-12 20:30:00,7.7314795918367345,8.33544698245855,7.92466234679088,0
2012-12-12 20:35:00,7.7314795918367345,8.33544698245855,7.921872579089425,0
2012-12-12 20:40:00,7.7314795918367345,8.33544698245855,7.91908281138797,0
2012-12-12 20:45:00,7.7314795918367345,8.33544698245855,7.916293043686514,0
2012-12-12 20:50:00,7.7314795918367345,8.33544698245855,7.913503275985058,0
2012-12-12 20:55:00,7.7314795918367345,8.33544698245855,7.910713508283603,0
2012-12-12 21:00:00,7.7314795918367345,8.33544698245855,7.907923740582148,0
2012-12-12 21:05:00,7.7314795918367345,8.33544698245855,7.905133972880693,0
2012-12-12 21:10:00,7.7314795918367345,8.33544698245855,7.9023442051792365,0
2012-12-12 21:15:00,7.7314795918367345,8.33544698245855,7.899554437477781,0
2012-12-12 21:20:00,7.7314795918367345,8.33544698245855,7.896764669776326,0
2012-12-12 21:25:00,7.7314795918367345,8.33544698245855,7.893974902074871,0
2012-12-12 21:30:00,7.7314795918367345,8.33544698245855,7.891185134373416,0
2012-12-12 21:35:00,7.7314795918367345,8.33544698245855,7.8883953666719595,0
2012-12-12 21:40:00,7.7314795918367345,8.33544698245855,7.885605598970504,0
2012-12-12 21:45:00,7.7314795918367345,8.33544698245855,7.882815831269049,0
2012-12-12 21:50:00,7.7314795918367345,8.33544698245855,7.880026063567594,0
2012-12-12 21:55:00,7.7314795918367345,8.33544698245855,7.877236295866138,0
2012-12-12 22:00:00,7.7314795918367345,8.33544698245855,7.8744465281646825,0
2012-12-12 22:05:00,7.7314795918367345,8.33544698245855,7.871656760463227,0
2012-12-12 22:10:00,7.7314795918367345,8.33544698245855,7.868866992761772,0
2012-12-12 22:15:00,7.7314795918367345,8.33544698245855,7.866077225060316,0
2012-12-12 22:20:00,7.7314795918367345,8.33544698245855,7.863287457358861,0
2012-12-12 22:25:00,7.7314795918367345,8.33544698245855,7.8604976896574055,0
2012-12-12 22:30:00,7.7314795918367345,8.33544698245855,7.85770792195595,0
2012-12-12 22:35:00,7.7314795918367345,8.33544698245855,7.854918154254495,0
2012-12-12 22:40:00,7.7314795918367345,8.33544698245855,7.852128386553039,0
2012-12-12 22:45:00,7.7314795918367345,8.33544698245855,7.849338618851584,0
2012-12-12 22:50:00,7.7314795918367345,8.33544698245855,7.8465488511501285,0
