YY,MM,DD,hh,mm,WTMP
2012,12,19,02,50,11.3
2012,12,19,03,50,11.3
2012,12,19,04,50,11.3
2012,12,19,05,50,11.3
2012,12,19,06,50,11.2
2012,12,19,07,50,11.2
2012,12,19,08,50,11.2
2012,12,19,09,50,11.2
2012,12,19,10,50,11.2
2012,12,19,11,50,11.2
2012,12,19,12,50,11.2
2012,12,19,13,50,11.2
2012,12,19,14,50,11.2
2012,12,19,15,50,11.2
2012,12,19,16,50,11.1
2012,12,19,17,50,11.1
2012,12,19,18,50,11.2
2012,12,19,19,50,11.2
2012,12,19,20,50,11.2
2012,12,19,21,50,11.2
2012,12,19,22,50,11.2
2012,12,19,23,50,11.3
2012,12,20,00,50,11.2
2012,12,20,01,50,11.2
2012,12,20,02,50,11.2
2012,12,20,03,50,11.2
2012,12,20,04,50,11.2
2012,12,20,05,50,11.3
2012,12,20,06,50,11.4
2012,12,20,07,50,11.4
2012,12,20,08,50,11.4
2012,12,20,09,50,11.4
2012,12,20,10,50,11.4
2012,12,20,11,50,11.4
2012,12,20,12,50,11.3
2012,12,20,13,50,11.4
2012,12,20,14,50,11.4
2012,12,20,15,50,11.3
2012,12,20,16,50,11.3
2012,12,20,17,50,11.3
2012,12,20,18,50,11.3
2012,12,20,19,50,11.3
2012,12,20,20,50,11.3
2012,12,20,21,50,11.2
2012,12,20,22,50,11.0
2012,12,20,23,50,11.0
2012,12,21,00,50,10.9
2012,12,21,01,50,10.9
2012,12,21,02,50,10.9
2012,12,21,03,50,10.9
2012,12,21,04,50,10.9
2012,12,21,05,50,10.8
2012,12,21,06,50,10.8
2012,12,21,07,50,10.8
2012,12,21,08,50,10.9
2012,12,21,09,50,10.9
2012,12,21,10,50,10.8
2012,12,21,11,50,10.9
2012,12,21,12,50,10.8
2012,12,21,13,50,10.8
2012,12,21,14,50,10.8
2012,12,21,15,50,10.8
2012,12,21,16,50,10.8
2012,12,21,17,50,10.8
2012,12,21,18,50,10.8
2012,12,21,19,50,11.0
2012,12,21,20,50,11.0
2012,12,21,21,50,11.0
2012,12,21,22,50,11.0
2012,12,21,23,50,10.9
2012,12,22,00,50,10.8
2012,12,22,01,50,10.8
2012,12,22,02,50,10.7
2012,12,22,03,50,10.8
2012,12,22,04,50,10.8
2012,12,22,05,50,10.9
2012,12,22,06,50,11.0
2012,12,22,07,50,11.0
2012,12,22,08,50,10.9
2012,12,22,09,50,10.9
2012,12,22,10,50,10.9
2012,12,22,11,50,10.9
2012,12,22,12,50,10.9
2012,12,22,13,50,10.9
2012,12,22,14,50,10.9
2012,12,22,15,50,10.9
2012,12,22,16,50,10.8
2012,12,22,17,50,10.8
2012,12,22,18,50,10.8
2012,12,22,19,50,10.8
2012,12,22,20,50,10.8
2012,12,22,21,50,10.9
2012,12,22,22,50,10.9
2012,12,22,23,50,10.9
2012,12,23,00,50,10.9
2012,12,23,01,50,10.8
2012,12,23,02,50,10.8
2012,12,23,03,50,10.7
2012,12,23,04,50,10.7
2012,12,23,05,50,10.7
2012,12,23,06,50,10.7
2012,12,23,07,50,10.7
2012,12,23,08,50,10.7
2012,12,23,09,50,10.8
2012,12,23,10,50,10.7
2012,12,23,11,50,10.7
2012,12,23,12,50,10.6
2012,12,23,13,50,10.5
2012,12,23,14,50,10.5
2012,12,23,15,50,10.5
2012,12,23,16,50,10.5
2012,12,23,17,50,10.5
2012,12,23,18,50,10.5
2012,12,23,19,50,10.6
2012,12,23,20,50,10.6
2012,12,23,21,50,10.6
2012,12,23,22,50,10.6
2012,12,23,23,50,10.7
2012,12,24,00,50,10.6
2012,12,24,01,50,10.7
2012,12,24,02,50,10.7
2012,12,24,03,50,10.8
2012,12,24,04,50,10.9
2012,12,24,05,50,11.1
2012,12,24,06,50,11.1
2012,12,24,07,50,11.1
2012,12,24,08,50,11.1
2012,12,24,09,50,11.1
2012,12,24,10,50,11.1
