DN,BottomTemp,MiniTemp,BottomSalCorrected,MiniSal,Stonewall,OceanTemp,oceanSalEstimate
2012-12-12 17:15:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.9646642327674,30.275884856439536
2012-12-12 17:20:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.964309244085321,30.272099748281157
2012-12-12 17:25:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.963954255403243,30.268314640122778
2012-12-12 17:30:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.963599266721163,30.2645295319644
2012-12-12 17:35:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.963244278039083,30.260744423806024
2012-12-12 17:40:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.962889289357003,30.256959315647645
2012-12-12 17:45:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.962534300674925,30.253174207489266
2012-12-12 17:50:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.962179311992845,30.249389099330887
2012-12-12 17:55:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.961824323310765,30.24560399117251
2012-12-12 18:00:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.961469334628687,30.24181888301413
2012-12-12 18:05:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.961114345946607,30.238033774855754
2012-12-12 18:10:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.960759357264527,30.234248666697376
2012-12-12 18:15:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.960404368582449,30.230463558538997
2012-12-12 18:20:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.960049379900369,30.226678450380618
2012-12-12 18:25:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.959694391218289,30.22289334222224
2012-12-12 18:30:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.959339402536209,30.21910823406386
2012-12-12 18:35:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.95898441385413,30.21532312590548
2012-12-12 18:40:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.95862942517205,30.211538017747106
2012-12-12 18:45:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.95827443648997,30.207752909588727
2012-12-12 18:50:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.957919447807893,30.20396780143035
2012-12-12 18:55:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.957564459125813,30.20018269327197
2012-12-12 19:00:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.957209470443733,30.19639758511359
2012-12-12 19:05:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.956854481761654,30.19261247695521
2012-12-12 19:10:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.956499493079574,30.188827368796836
2012-12-12 19:15:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.956144504397495,30.185042260638458
2012-12-12 19:20:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.955789515715415,30.18125715248008
2012-12-12 19:25:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.955434527033336,30.1774720443217
2012-12-12 19:30:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.955079538351256,30.17368693616332
2012-12-12 19:35:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.954724549669177,30.169901828004942
2012-12-12 19:40:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.954369560987098,30.166116719846563
2012-12-12 19:45:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.954014572305018,30.162331611688188
2012-12-12 19:50:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.953659583622938,30.15854650352981
2012-12-12 19:55:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.953304594940859,30.15476139537143
2012-12-12 20:00:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.95294960625878,30.15097628721305
2012-12-12 20:05:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.9525946175767,30.147191179054673
2012-12-12 20:10:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.95223962889462,30.143406070896294
2012-12-12 20:15:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.951884640212542,30.13962096273792
2012-12-12 20:20:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.951529651530462,30.13583585457954
2012-12-12 20:25:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.951174662848382,30.13205074642116
2012-12-12 20:30:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.950819674166304,30.128265638262782
2012-12-12 20:35:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.950464685484224,30.124480530104403
2012-12-12 20:40:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.950109696802144,30.120695421946024
2012-12-12 20:45:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.949754708120064,30.11691031378765
2012-12-12 20:50:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.949399719437986,30.11312520562927
2012-12-12 20:55:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.949044730755906,30.10934009747089
2012-12-12 21:00:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.948689742073826,30.105554989312513
2012-12-12 21:05:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.948334753391748,30.101769881154134
2012-12-12 21:10:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.947979764709668,30.097984772995755
2012-12-12 21:15:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.947624776027588,30.094199664837376
2012-12-12 21:20:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.94726978734551,30.090414556679
2012-12-12 21:25:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.94691479866343,30.086629448520622
2012-12-12 21:30:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.94655980998135,30.082844340362243
2012-12-12 21:35:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.94620482129927,30.079059232203864
2012-12-12 21:40:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.945849832617192,30.075274124045485
2012-12-12 21:45:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.945494843935112,30.071489015887106
2012-12-12 21:50:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.945139855253032,30.06770390772873
2012-12-12 21:55:00,10.9646642327674,,30.275884856439536,,11.533333333333331,10.944784866570954,30.063918799570352
