DN,ModelTemp,TempDiff,OriginalTemp
2013-01-22 22:40:00,5.972533382421242,0.007466617578758772,5.98
2013-01-22 22:45:00,5.957229820150606,-0.15722982015060616,5.8
2013-01-22 22:50:00,5.931629762344677,-0.1216297623446776,5.81
2013-01-22 22:55:00,5.9126598986045416,-0.08265989860454148,5.83
2013-01-22 23:00:00,5.88304902699962,-0.09304902699962003,5.79
2013-01-22 23:04:59,5.87104124446177,-0.07104124446177007,5.8
2013-01-22 23:10:00,5.843612990925941,-0.1336129909259407,5.71
2013-01-22 23:15:00,5.812821810896723,-0.20282181089672235,5.61
2013-01-22 23:20:00,5.803854017039768,-0.20385401703976846,5.6
2013-01-22 23:25:00,5.797415596000094,-0.13741559600009357,5.66
2013-01-22 23:30:00,5.788982586900687,-0.1789825869006867,5.61
2013-01-22 23:35:00,5.782568041340146,-0.17256804134014558,5.61
2013-01-22 23:40:00,5.7757761181379665,-0.1757761181379669,5.6
2013-01-22 23:45:00,5.774102617493137,-0.134102617493137,5.64
2013-01-22 23:49:59,5.7671798109154,-0.16717981091540057,5.6
2013-01-22 23:55:00,5.759306922018717,-0.10930692201871661,5.65
2013-01-23 00:00:00,6.033391822961518,-0.39339182296151876,5.64
2013-01-23 00:05:00,6.0286138738626285,-0.6386138738626288,5.39
2013-01-23 00:10:00,6.024734394492882,-0.6047343944928825,5.42
2013-01-23 00:15:00,6.025210113871299,-0.6852101138712987,5.34
2013-01-23 00:20:00,6.014152995291575,-0.4741529952915746,5.54
2013-01-23 00:25:00,6.002774544048713,-0.6527745440487136,5.35
2013-01-23 00:30:00,5.9896655218690835,-0.6496655218690837,5.34
2013-01-23 00:34:59,5.977935000563059,-0.6779350005630596,5.3
2013-01-23 00:40:00,5.9650150096547865,-0.7050150096547867,5.26
2013-01-23 00:45:00,5.923230666639036,-0.8032306666390356,5.12
2013-01-23 00:50:00,5.916674890964329,-0.6366748909643292,5.28
2013-01-23 00:55:00,5.901278666053283,-0.6412786660532834,5.26
2013-01-23 01:00:00,5.893011386960838,-0.7730113869608379,5.12
2013-01-23 01:05:00,5.880285987689593,-0.7902859876895931,5.09
2013-01-23 01:10:00,5.876166588901049,-0.7161665889010491,5.16
2013-01-23 01:15:00,5.8728238461464475,-0.7928238461464474,5.08
2013-01-23 01:19:59,5.867193646467353,-0.8971936464673531,4.97
2013-01-23 01:25:00,5.862004342138409,-0.7720043421384091,5.09
2013-01-23 01:30:00,5.86067636239142,-0.8406763623914202,5.02
2013-01-23 01:35:00,5.859390962900135,-0.7893909629001348,5.07
2013-01-23 01:40:00,5.859159457131986,-0.7891594571319853,5.07
2013-01-23 01:45:00,5.857938635091802,-0.6879386350918022,5.17
2013-01-23 01:50:00,5.857204586595221,-0.6572045865952205,5.2
2013-01-23 01:55:00,5.859561345303906,-0.6995613453039056,5.16
2013-01-23 02:00:00,5.797094004214713,-1.2870940042147136,4.51
2013-01-23 02:04:59,5.7924937435517005,-1.2824937435517008,4.51
2013-01-23 02:10:00,5.799847288464428,-1.2698472884644278,4.53
2013-01-23 02:15:00,5.808933236555118,-1.2489332365551187,4.56
2013-01-23 02:20:00,5.831737002979807,-1.2017370029798071,4.63
2013-01-23 02:25:00,5.822758198350025,-1.182758198350025,4.64
2013-01-23 02:30:00,5.846432034934032,-1.1064320349340315,4.74
2013-01-23 02:35:00,5.888244799545548,-1.028244799545548,4.86
2013-01-23 02:40:00,5.898082719807059,-0.978082719807059,4.92
2013-01-23 02:45:00,5.91770132778646,-0.9777013277864599,4.94
2013-01-23 02:49:59,5.930059779248252,-0.9700597792482517,4.96
2013-01-23 02:55:00,5.928192302887684,-0.968192302887684,4.96
2013-01-23 03:00:00,5.936279028255622,-0.9562790282556213,4.98
2013-01-23 03:05:00,5.948589560052012,-0.948589560052012,5.0
2013-01-23 03:10:00,5.97022523529623,-0.9602252352962299,5.01
2013-01-23 03:15:00,5.972385120288528,-0.9623851202885279,5.01
2013-01-23 03:20:00,5.9767068974727655,-0.9667068974727657,5.01
2013-01-23 03:25:00,5.980270713902774,-0.9402707139027742,5.04
2013-01-23 03:30:00,5.991773291936165,-0.9017732919361654,5.09
2013-01-23 03:34:59,5.995648199071803,-0.9056481990718028,5.09
2013-01-23 03:40:00,6.0276374952407865,-0.8376374952407861,5.19
2013-01-23 03:45:00,6.019974763985027,-0.8599747639850266,5.16
2013-01-23 03:50:00,6.185998633603509,-0.6459986336035088,5.54
2013-01-23 03:55:00,6.370760614712805,-0.530760614712805,5.84
2013-01-23 04:00:00,6.460512206000895,-0.45051220600089525,6.01
2013-01-23 04:05:00,6.6544463386953385,-0.4044463386953385,6.25
2013-01-23 04:10:00,6.313594634659967,-0.583594634659967,5.73
2013-01-23 04:15:00,6.110351670262746,-0.6803516702627466,5.43
2013-01-23 04:19:59,6.079919480783092,-0.5499194807830916,5.53
2013-01-23 04:25:00,6.080801535278494,-0.6508015352784939,5.43
2013-01-23 04:30:00,6.111325104746187,-0.6113251047461867,5.5
2013-01-23 04:35:00,6.215847251862426,-0.595847251862426,5.62
2013-01-23 04:40:00,6.1392989556501965,-0.5692989556501962,5.57
2013-01-23 04:45:00,6.191185373467797,-0.5411853734677967,5.65
2013-01-23 04:50:00,6.393303668992862,-0.3433036689928626,6.05
2013-01-23 04:55:00,6.548834728953601,-0.3488347289536007,6.2
2013-01-23 05:00:00,6.9286592099787745,-0.32865920997877485,6.6
2013-01-23 05:04:59,7.050998195027653,-0.30099819502765257,6.75
2013-01-23 05:10:00,6.930864414587556,-0.33086441458755633,6.6
