Tm (UTC),U (m s-1),Tair (degC),RH (%),P (mb),SW_dn (W m-2),LW_dn (W m-2),Lat,Lon
04-Jan-2014 23:00:00,5.11950486618617,11.6822374244448,45.1673469325754,1021.72344689179,251.511903311103,252.988194593929,44.420452,-124.104527
05-Jan-2014 00:00:00,4.64112547297359,10.9748810935752,45.3630832878351,1021.75733301528,114.846501928674,254.341014647836,44.420452,-124.104527
05-Jan-2014 01:00:00,4.2741888694048,5.32112851248671,65.1868114768914,1023.40374595041,0,244.993584356604,44.420452,-124.104527
05-Jan-2014 02:00:00,2.20757374522957,6.21021737427305,44.0039216758188,1023.1505475398,0,242.473707954687,44.420452,-124.104527
05-Jan-2014 03:00:00,4.11244893777737,8.97623364090284,36.2634721855958,1023.59076186175,0,246.680639377389,44.420452,-124.104527
05-Jan-2014 04:00:00,5.40075341846485,9.67741881949912,36.7803658179749,1023.25749070948,0,249.425273462931,44.420452,-124.104527
05-Jan-2014 05:00:00,6.0377458541513,10.8238363077536,32.8929013162863,1023.48672418001,0,250.86860632282,44.420452,-124.104527
05-Jan-2014 06:00:00,6.23468770672551,10.7690751931813,31.0234291409006,1023.466425397,0,251.962297007658,44.420452,-124.104527
05-Jan-2014 07:00:00,6.01245277891748,10.6573246472425,30.2680415221454,1023.39471675457,0,252.527572618119,44.420452,-124.104527
05-Jan-2014 08:00:00,5.32925418176245,10.1350193462107,30.9602221380518,1023.62714828725,0,252.557716484025,44.420452,-124.104527
05-Jan-2014 09:00:00,4.42110409493859,9.84287540562064,33.1136980593244,1023.6632346304,0,252.750949684934,44.420452,-124.104527
05-Jan-2014 10:00:00,3.91040799566849,9.76054886645694,34.888773470224,1023.77394495607,0,253.032703172265,44.420452,-124.104527
05-Jan-2014 11:00:00,3.43482306705926,9.45186591549513,35.2116750885617,1023.77605055265,0,252.888578885975,44.420452,-124.104527
05-Jan-2014 12:00:00,3.27521706617794,8.95290407093199,34.3803781216303,1023.79104851062,0,252.519480225845,44.420452,-124.104527
05-Jan-2014 13:00:00,3.4097784067934,8.32967375658697,33.3883659570226,1023.69937872058,0,252.308219960788,44.420452,-124.104527
05-Jan-2014 14:00:00,3.37446386859988,8.41889577457629,33.9387247897207,1023.42892236154,0,252.97280382257,44.420452,-124.104527
05-Jan-2014 15:00:00,3.51934985812442,8.66185256968679,34.4841694194745,1023.46787287157,0,254.418106101141,44.420452,-124.104527
05-Jan-2014 16:00:00,4.59327105155307,9.63749738405707,30.0531622303387,1023.49774204432,0,255.229310899222,44.420452,-124.104527
05-Jan-2014 17:00:00,4.79681223559798,11.3983467109727,33.3845011012484,1023.41891405359,109.377926533854,255.899697774989,44.420452,-124.104527
05-Jan-2014 18:00:00,4.31959537958565,12.7647032429149,37.4035812702951,1023.22029827875,247.262526371895,260.213174519088,44.420452,-124.104527
05-Jan-2014 19:00:00,3.81112274196606,13.8216319392237,38.6593128488739,1023.08644305981,350.446746273874,265.409535827065,44.420452,-124.104527
05-Jan-2014 20:00:00,3.3835211040145,14.0880428044654,42.6407637569215,1022.91500486222,405.076892303346,268.593135804205,44.420452,-124.104527
05-Jan-2014 21:00:00,2.14162373179298,14.5875534856554,43.6769312007822,1022.31612420875,405.272753473498,271.893679398972,44.420452,-124.104527
05-Jan-2014 22:00:00,2.62013792141005,14.7539904980729,45.529113124657,1021.76555582139,352.070320261076,273.999580414599,44.420452,-124.104527
05-Jan-2014 23:00:00,3.42660511725228,14.3295329973831,46.3063951375346,1021.20695732938,250.917911358346,274.556772494565,44.420452,-124.104527
06-Jan-2014 00:00:00,4.54912643179692,13.2298656526977,45.838835685373,1020.88782803089,114.864688194482,273.33077166521,44.420452,-124.104527
06-Jan-2014 01:00:00,2.76016432000506,9.14345888044831,51.8967848523259,1020.19262841195,0,265.28448000161,44.420452,-124.104527
06-Jan-2014 02:00:00,4.18628179494991,10.8900419924627,41.346393960638,1020.3334109849,0,268.640331557945,44.420452,-124.104527
06-Jan-2014 03:00:00,2.08663189291185,9.134848971228,48.2978519752168,1020.59511216225,0,266.419808706385,44.420452,-124.104527
06-Jan-2014 04:00:00,1.25966051351903,9.12390177107271,48.4586923519003,1020.14365249356,0,266.692907839458,44.420452,-124.104527
06-Jan-2014 05:00:00,2.11531259369075,9.43091713009545,45.8722645255189,1020.42332896682,0,266.779259188108,44.420452,-124.104527
06-Jan-2014 06:00:00,4.00024795777527,10.866841209335,42.2380760075475,1020.12821254344,0,268.110442574884,44.420452,-124.104527
06-Jan-2014 07:00:00,5.15269212255638,11.3709297185611,37.3300154193475,1020.18635458548,0,268.752622971742,44.420452,-124.104527
06-Jan-2014 08:00:00,5.14466533286991,11.2757095450326,37.5070515794831,1020.34215410272,0,267.844498907064,44.420452,-124.104527
06-Jan-2014 09:00:00,5.42500612500998,11.2230291836308,36.409488208371,1020.05718813269,0,266.554208788204,44.420452,-124.104527
06-Jan-2014 10:00:00,5.32980913896018,11.0574301961638,36.519779324491,1020.21010865692,0,275.158196978183,44.420452,-124.104527
06-Jan-2014 11:00:00,4.91013706567784,10.6098170091636,37.9902501565339,1020.45912226286,0,283.410410708548,44.420452,-124.104527
06-Jan-2014 12:00:00,4.63165261907728,10.2048934043608,39.6782431344918,1020.67289717653,0,289.575413227804,44.420452,-124.104527
06-Jan-2014 13:00:00,4.48778431056787,9.85849060034089,41.1789695166028,1020.853083209,0,292.388316879792,44.420452,-124.104527
06-Jan-2014 14:00:00,4.09245886251636,10.0794387137712,43.8902394864283,1020.80233507734,0,303.947861182281,44.420452,-124.104527
06-Jan-2014 15:00:00,3.55034848154034,10.0046894604575,49.7929743953583,1021.02160067013,0,309.651135136431,44.420452,-124.104527
06-Jan-2014 16:00:00,3.41693201962825,9.50581380924476,52.8368695529874,1021.09703646738,0,299.715741651542,44.420452,-124.104527
06-Jan-2014 17:00:00,4.67191669810657,11.0541756442503,52.6584496119128,1021.35698779171,66.8200534663551,305.346790981221,44.420452,-124.104527
06-Jan-2014 18:00:00,5.64556568438766,11.9442152649141,51.1725193613531,1021.38705505979,83.7186709817852,329.558784131081,44.420452,-124.104527
06-Jan-2014 19:00:00,6.52998491106988,12.0545335348496,52.25920663657,1021.62430735247,149.651125304837,333.992468917968,44.420452,-124.104527
06-Jan-2014 20:00:00,4.44562557528114,11.9742567790279,59.2075138313078,1021.3745243668,199.064387920903,336.032444655288,44.420452,-124.104527
06-Jan-2014 21:00:00,4.30642815541261,12.4255998591969,58.9169652003818,1020.76887944649,256.621059227277,329.885500808582,44.420452,-124.104527
06-Jan-2014 22:00:00,5.90403992717388,11.7963730873739,62.6807441817554,1020.49023480507,181.718580076999,340.910576332977,44.420452,-124.104527
06-Jan-2014 23:00:00,4.45486249756875,11.1367767065238,67.385808928005,1019.9701436875,55.2046845521225,348.802046211962,44.420452,-124.104527
07-Jan-2014 00:00:00,5.76923643591258,10.82991771445,64.7285922881974,1020.23226919332,29.9926897953925,352.526571250656,44.420452,-124.104527
07-Jan-2014 01:00:00,5.01344117402709,9.66022921444873,67.8822501784411,1012.99748788608,0,345.789802696649,44.420452,-124.104527
07-Jan-2014 02:00:00,5.5085734076107,9.35137964025116,69.5333883058846,1012.78600163637,0,348.5194915721,44.420452,-124.104527
07-Jan-2014 03:00:00,5.54520213641049,9.0919781540267,71.3234540604094,1012.85109390564,0,345.976479448373,44.420452,-124.104527
