DN,MeasuredAirTemp,U,atm Pressure
2013-10-24 19:19:59,10.70749,1.686948,1016.823
2013-10-24 19:30:00,10.75109,1.460687,1017.975
2013-10-24 19:30:00,10.80806,1.11914,1017.959
2013-10-24 19:40:00,10.98686,0.6062943,1018.005
2013-10-24 19:50:00,10.94047,1.447785,1017.956
2013-10-24 20:00:00,10.986,1.432758,1017.923
2013-10-24 20:10:00,10.889,2.204187,1018.026
2013-10-24 20:20:00,10.98599,1.15199,1017.957
2013-10-24 20:30:00,11.0011,1.319406,1017.784
2013-10-24 20:40:00,11.1187,0.7575386,1017.69
2013-10-24 20:49:59,11.23431,0.5452064,1017.699
2013-10-24 21:00:00,11.33568,1.260441,1017.637
2013-10-24 21:10:00,11.45655,0.5195644,1017.626
2013-10-24 21:20:00,11.89622,0.1966529,1017.679
2013-10-24 21:30:00,11.5233,1.949872,1017.71
2013-10-24 21:40:00,11.29995,2.646326,1017.705
2013-10-24 21:50:00,11.36331,2.781892,1017.695
2013-10-24 22:00:00,11.46612,1.685923,1017.723
2013-10-24 22:10:00,11.51167,2.40296,1017.82
2013-10-24 22:19:59,11.48358,2.222969,1017.882
2013-10-24 22:30:00,11.37344,2.00312,1017.925
2013-10-24 22:40:00,11.27563,2.371272,1018.02
2013-10-24 22:50:00,11.31167,2.122678,1018.104
2013-10-24 23:00:00,11.26534,2.771275,1018.23
2013-10-24 23:10:00,11.34488,1.772819,1018.414
2013-10-24 23:20:00,11.33734,2.968745,1018.541
2013-10-24 23:30:00,11.3357,2.844777,1018.408
2013-10-24 23:40:00,11.34286,2.497366,1018.492
2013-10-24 23:49:59,11.37521,2.02027,1018.573
2013-10-25 00:00:00,11.33572,2.592918,1018.593
2013-10-25 00:10:00,11.29712,2.199447,1018.592
2013-10-25 00:20:00,11.32651,2.675236,1018.505
2013-10-25 00:30:00,11.36692,2.674745,1018.396
2013-10-25 00:40:00,11.50334,2.948003,1018.415
2013-10-25 00:50:00,11.52737,2.967273,1018.461
