dayDN,surfaceRiver,bottomRiver,EstimatedTemp,plot_date
2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161,2012-12-12 12:00:00
2012-12-13,7.7314795918367345,8.33544698245855,8.033463287147642,2012-12-13 12:00:00
2012-12-14,6.979114583333334,7.8268369899040975,7.402975786618716,2012-12-14 12:00:00
2012-12-15,7.150054644808743,7.499256412567626,7.324655528688185,2012-12-15 12:00:00
2012-12-16,6.968870056497174,7.30147302204967,7.135171539273422,2012-12-16 12:00:00
2012-12-17,7.887070312500001,7.9149632485598636,7.9010167805299325,2012-12-17 12:00:00
2012-12-18,6.96326388888889,7.63037918381941,7.29682153635415,2012-12-18 12:00:00
2012-12-19,6.1675,6.661591910914871,6.414545955457436,2012-12-19 12:00:00
2012-12-20,6.956006944444444,7.181060296805697,7.06853362062507,2012-12-20 12:00:00
2012-12-21,7.135347222222222,7.405319607751583,7.2703334149869026,2012-12-21 12:00:00
2012-12-22,7.614027777777778,7.878765524220311,7.746396650999045,2012-12-22 12:00:00
2012-12-23,7.543472222222222,7.936608688070219,7.740040455146221,2012-12-23 12:00:00
2012-12-24,7.444305555555555,7.8026504815806845,7.62347801856812,2012-12-24 12:00:00
2012-12-25,7.726076388888888,8.030139090291868,7.878107739590378,2012-12-25 12:00:00
2012-12-26,7.981597222222222,8.224959455455096,8.10327833883866,2012-12-26 12:00:00
2012-12-27,7.921701388888888,8.310229588029703,8.115965488459295,2012-12-27 12:00:00
2012-12-28,7.878368055555555,8.20124716134913,8.039807608452342,2012-12-28 12:00:00
2012-12-29,7.741909722222222,8.053235596846886,7.8975726595345535,2012-12-29 12:00:00
2012-12-30,7.262013888888889,7.5625881003114195,7.412300994600154,2012-12-30 12:00:00
2012-12-31,6.440486111111111,7.081705014262798,6.761095562686955,2012-12-31 12:00:00
2013-01-01,6.311597222222223,6.637991156727476,6.474794189474849,2013-01-01 12:00:00
2013-01-02,5.734615384658369,6.319894234710626,6.027254809684497,2013-01-02 12:00:00
2013-01-03,4.915641025555057,5.739638930287388,5.327639977921223,2013-01-03 12:00:00
2013-01-04,5.651587301805497,5.565029901595174,5.608308601700335,2013-01-04 12:00:00
2013-01-05,6.554600000229328,6.218406428488319,6.386503214358823,2013-01-05 12:00:00
