DN,SurfaceSalCorrected,BottomSalCorrected,BottomSalBad,SurfaceTemp,BottomTemp,BottomTempBad,BottomPressure,dayDN,surfaceRiver,bottomRiver,EstimatedTemp
2012-12-12 17:15:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 17:20:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 17:25:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 17:30:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 17:35:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 17:40:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 17:45:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 17:50:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 17:55:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 18:00:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 18:05:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 18:10:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 18:15:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 18:20:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 18:25:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 18:30:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 18:35:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 18:40:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 18:45:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 18:50:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 18:55:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 19:00:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
2012-12-12 19:05:00,,,False,,,False,,2012-12-12,8.018888888888888,8.751818648265434,8.385353768577161
