Tm (UTC),Qnet,Qnet_clean,lowpass
2012-12-12 17:00:00,-68.42880386835094,-68.42880386835094,
2012-12-12 18:00:00,13.789629885618945,13.789629885618945,
2012-12-12 19:00:00,78.10677310558935,78.10677310558935,
2012-12-12 20:00:00,71.01990754913496,71.01990754913496,
2012-12-12 21:00:00,149.93208930757578,149.93208930757578,
2012-12-12 22:00:00,139.3189768356492,139.3189768356492,
2012-12-12 23:00:00,43.75384496331685,43.75384496331685,
2012-12-13 00:00:00,-48.146754308529,-48.146754308529,
2012-12-13 01:00:00,-120.58638283486079,-120.58638283486079,
2012-12-13 02:00:00,-112.482727738808,-112.482727738808,
2012-12-13 03:00:00,-132.0192086997456,-132.0192086997456,
2012-12-13 04:00:00,-139.58420608036332,-139.58420608036332,
2012-12-13 05:00:00,-145.03553256592232,-145.03553256592232,
2012-12-13 06:00:00,-144.24993327270386,-144.24993327270386,
2012-12-13 07:00:00,-149.30431870745699,-149.30431870745699,
2012-12-13 08:00:00,-125.39889191875292,-125.39889191875292,
2012-12-13 09:00:00,-130.85749888896083,-130.85749888896083,
2012-12-13 10:00:00,-130.51224028712554,-130.51224028712554,
2012-12-13 11:00:00,-129.52232011698285,-129.52232011698285,-84.85540127614108
2012-12-13 12:00:00,-135.58558697875023,-135.58558697875023,-82.81697591919692
2012-12-13 13:00:00,-139.36966410974998,-139.36966410974998,-80.46205847437037
2012-12-13 14:00:00,-144.23862591360347,-144.23862591360347,-77.8540825723783
2012-12-13 15:00:00,-173.19743342545166,-173.19743342545166,-75.06860811391448
2012-12-13 16:00:00,-182.02043117574544,-182.02043117574544,-72.1897491495434
2012-12-13 17:00:00,-132.55568192103948,-132.55568192103948,-69.30598864259971
2012-12-13 18:00:00,-13.47788340325776,-13.47788340325776,-66.50561677472234
2012-12-13 19:00:00,94.53820353621273,94.53820353621273,-63.87209824723323
2012-12-13 20:00:00,159.36568880677754,159.36568880677754,-61.47972941624552
2012-12-13 21:00:00,175.10012367754484,175.10012367754484,-59.38996157766535
2012-12-13 22:00:00,128.2301269800992,128.2301269800992,-57.64872086057868
2012-12-13 23:00:00,22.83828043143161,22.83828043143161,-56.28494599968803
2012-12-14 00:00:00,-87.15017397564525,-87.15017397564525,-55.31041375830944
2012-12-14 01:00:00,-154.4040759869626,-154.4040759869626,-54.72076439754857
2012-12-14 02:00:00,-107.34570112810172,-107.34570112810172,-54.497514862825206
2012-12-14 03:00:00,-98.39748651786087,-98.39748651786087,-54.610780774690504
2012-12-14 04:00:00,-89.63379157010746,-89.63379157010746,-55.02242125163936
2012-12-14 05:00:00,-83.83715384118752,-83.83715384118752,-55.6893525647501
2012-12-14 06:00:00,-73.66744305988212,-73.66744305988212,-56.5668213077724
2012-12-14 07:00:00,-81.81203403600114,-81.81203403600114,-57.611468540188504
2012-12-14 08:00:00,-81.13999571417078,-81.13999571417078,-58.78404881520625
2012-12-14 09:00:00,-90.42058517717385,-90.42058517717385,-60.05169375392094
2012-12-14 10:00:00,-93.3399547396124,-93.3399547396124,-61.38963180083827
2012-12-14 11:00:00,-108.12285499797412,-108.12285499797412,-62.78229695301672
2012-12-14 12:00:00,-74.03153323203276,-74.03153323203276,-64.22378200094343
2012-12-14 13:00:00,-103.36950401253019,-103.36950401253019,-65.71761720347045
2012-12-14 14:00:00,-135.36185416768583,-135.36185416768583,-67.2758826312297
2012-12-14 15:00:00,-139.43924074378492,-139.43924074378492,-68.91769068027229
2012-12-14 16:00:00,-165.7873661482101,-165.7873661482101,-70.66710635548549
2012-12-14 17:00:00,-115.11357873124192,-115.11357873124192,-72.55061181841624
2012-12-14 18:00:00,-14.034178620852401,-14.034178620852401,-74.59427124726655
2012-12-14 19:00:00,29.599812166316966,29.599812166316966,-76.82080647949213
2012-12-14 20:00:00,92.19551553371349,92.19551553371349,-79.24683678004072
2012-12-14 21:00:00,63.42033353294562,63.42033353294562,-81.88054629039438
2012-12-14 22:00:00,-22.319805136629462,-22.319805136629462,-84.72000651823704
2012-12-14 23:00:00,-38.915979041120465,-38.915979041120465,-87.7523021599547
2012-12-15 00:00:00,-84.1754502439184,-84.1754502439184,-90.9535072813466
2012-12-15 01:00:00,-131.6082868778207,-131.6082868778207,-94.28946252306206
2012-12-15 02:00:00,-113.25599262373173,-113.25599262373173,-97.7172325055695
2012-12-15 03:00:00,-96.49964256256173,-96.49964256256173,-101.18708253588369
2012-12-15 04:00:00,-99.73780395692509,-99.73780395692509,-104.64480064782218
2012-12-15 05:00:00,-157.11786405783164,-157.11786405783164,-108.03419433566334
2012-12-15 06:00:00,-154.05089098507943,-154.05089098507943,-111.2996001634308
2012-12-15 07:00:00,-172.84487245271742,-172.84487245271742,-114.38825467447006
2012-12-15 08:00:00,-184.31018311919462,-184.31018311919462,-117.25239082009315
2012-12-15 09:00:00,-126.89574072961857,-126.89574072961857,-119.85095078243914
2012-12-15 10:00:00,-144.97271084212406,-144.97271084212406,-122.15084318019507
2012-12-15 11:00:00,-153.7912036414524,-153.7912036414524,-124.12771377151759
2012-12-15 12:00:00,-124.17971803120028,-124.17971803120028,-125.76623591414956
2012-12-15 13:00:00,-117.72026334173827,-117.72026334173827,-127.05995574835538
2012-12-15 14:00:00,-112.8811806521706,-112.8811806521706,-128.01074734406865
2012-12-15 15:00:00,-127.30716400093232,-127.30716400093232,-128.62794566451254
2012-12-15 16:00:00,-136.65127611470763,-136.65127611470763,-128.9272298772095
2012-12-15 17:00:00,-145.59524333521242,-145.59524333521242,-128.92932773021684
2012-12-15 18:00:00,-149.4705746494911,-149.4705746494911,-128.6586080388368
2012-12-15 19:00:00,-140.71044993507604,-140.71044993507604,-128.14162796422306
2012-12-15 20:00:00,-87.17938623896327,-87.17938623896327,-127.40570706217298
2012-12-15 21:00:00,-79.70060567938296,-79.70060567938296,-126.47760893842101
2012-12-15 22:00:00,-61.839782526840175,-61.839782526840175,-125.38241725229541
2012-12-15 23:00:00,-88.37156236587107,-88.37156236587107,-124.14268754462836
2012-12-16 00:00:00,-113.31316441098429,-113.31316441098429,-122.77793548730686
2012-12-16 01:00:00,-98.10703421166333,-98.10703421166333,-121.3044890249567
2012-12-16 02:00:00,-105.3840930772852,-105.3840930772852,-119.73569569833636
2012-12-16 03:00:00,-104.73721688339592,-104.73721688339592,-118.08244558374406
2012-12-16 04:00:00,-124.68582630005815,-124.68582630005815,-116.35394742660736
2012-12-16 05:00:00,-143.04935413000743,-143.04935413000743,-114.5586790961049
2012-12-16 06:00:00,-159.49429078194862,-159.49429078194862,-112.70542264870033
2012-12-16 07:00:00,-123.61720454852525,-123.61720454852525,-110.80429137965461
2012-12-16 08:00:00,-117.65796896039868,-117.65796896039868,-108.8676639849196
2012-12-16 09:00:00,-113.60200175215903,-113.60200175215903,-106.91095813633777
2012-12-16 10:00:00,-129.24310693547824,-129.24310693547824,-104.9531964518228
2012-12-16 11:00:00,-113.32999955737112,-113.32999955737112,-103.01733587110144
2012-12-16 12:00:00,-100.62668074528543,-100.62668074528543,-101.13034523264724
2012-12-16 13:00:00,-96.38284593067891,-96.38284593067891,-99.3230273951983
2012-12-16 14:00:00,-99.31617013485348,-99.31617013485348,-97.62959258597603
2012-12-16 15:00:00,-108.31565855383413,-108.31565855383413,-96.08699744200254
2012-12-16 16:00:00,-109.67048776025561,-109.67048776025561,-94.73406860464878
2012-12-16 17:00:00,-105.3882269059541,-105.3882269059541,-93.61043255549392
2012-12-16 18:00:00,-95.66911686012048,-95.66911686012048,-92.75527765939948
2012-12-16 19:00:00,-108.44242367483137,-108.44242367483137,-92.2059815209733
2012-12-16 20:00:00,-71.69911219191779,-71.69911219191779,-91.9966456999046
2012-12-16 21:00:00,-115.66076358672085,-115.66076358672085,-92.15658838712136
2012-12-16 22:00:00,-158.04060989899546,-158.04060989899546,-92.70885242480544
2012-12-16 23:00:00,-111.50925291724178,-111.50925291724178,-93.66879231139868
2012-12-17 00:00:00,-74.0964459310652,-74.0964459310652,-95.04281394654339
2012-12-17 01:00:00,-17.138724827942298,-17.138724827942298,-96.827357721843
2012-12-17 02:00:00,2.397571603222307,2.397571603222307,-99.00823316391086
2012-12-17 03:00:00,-4.8946533988041026,-4.8946533988041026,-101.56041713664813
2012-12-17 04:00:00,-35.82379330766649,-35.82379330766649,-104.4484049068345
2012-12-17 05:00:00,-61.88578175041853,-61.88578175041853,-107.62715296831256
2012-12-17 06:00:00,-111.8186876389928,-111.8186876389928,-111.04358510743461
2012-12-17 07:00:00,-146.22182419723364,-146.22182419723364,-114.6385648429095
2012-12-17 08:00:00,-155.85651791655275,-155.85651791655275,-118.34918257469607
2012-12-17 09:00:00,-193.1211227075806,-193.1211227075806,-122.11117370425357
2012-12-17 10:00:00,-166.94090127415078,-166.94090127415078,-125.86127755091036
2012-12-17 11:00:00,-166.51876326426031,-166.51876326426031,-129.53936330387475
2012-12-17 12:00:00,-179.00130719459585,-179.00130719459585,-133.0901816863204
