# usr,tau,hsb,hlb,hbb,hsbb,hlwebb,tsr,qsr,zo,zot,zoq,Cd,Ch,Ce,L,zeta,dT_skinx,dq_skinx,dz_skin,Urf,Trf,Qrf,RHrf,UrfN,TrfN,QrfN,lw_net,sw_net,Le,rhoa,UN,U10,U10N,Cdn_10,Chn_10,Cen_10,hrain,Qs,Evap,T10,T10N,Q10,Q10N,RH10,P10,rhoa10,gust,wc_frac,Edis,Tm (UTC),Qnet
0.07600353500127936,0.006712264208737088,13.147433924718031,25.11468837256473,14.941943641269068,14.647761720522992,0.8962046370900517,-0.13844418438098574,-0.00010735116017723235,1.95919444786356e-05,0.00016,0.00016,0.0012822423670426147,0.0018422132767061043,0.00184221327670704,-2.6395522950368964,-3.788521265065603,0.29156008065755573,0.15519415197033107,0.0019162019521426217,1.9830841164830495,7.7562416064534,5.67337880409508,86.3486197012822,2.3332429342000167,6.752012479950452,4.894688371586985,-53.71067682516038,12.408723074566424,2475017.1110610473,1.2436811540831902,2.3332429342000167,1.9830841164830495,2.3332429342000167,0.0009262590749170378,0.0011024076826572635,0.0011024076826572635,0.0,7.858364548618096,0.03653020326088685,7.7562416064534,6.752012479950452,5.67337880409508,4.894688371586985,86.3486197012822,1006.3075321265,1.2434269810115413,0.7565745493852197,1e-05,0.0015924294562640507,2012-12-12 17:00:00,-79.56407604787671
0.0987660585401159,0.011652756767607976,16.366317751405433,30.15090638022829,18.523400584034096,18.1697804475376,1.1182605301710855,-0.13256881044539315,-9.913669379394408e-05,1.5923714820108805e-05,0.00016,0.00016,0.0011542455200017612,0.001662485812527774,0.0016624858125310316,-4.67445004759952,-2.1392890924431462,0.2689131804579411,0.14304626520356728,0.001586978361654326,2.79121568762603,7.744926890133523,5.735227731105654,87.39186715180888,3.1649953728894102,6.933135236790208,5.12815929403066,-58.86903133175079,79.7691839757326,2475025.944954401,1.2441663825781504,3.1649953728894102,2.79121568762603,3.1649953728894102,0.0008977157265748197,0.0010852890216661911,0.0010852890216661911,0.0,7.865056195587138,0.04385540409792416,7.744926890133523,6.933135236790208,5.735227731105654,5.12815929403066,87.39186715180888,1006.74474181367,1.243970547747905,0.8125841266572037,0.0009081685679901037,0.003649140564441033,2012-12-12 18:00:00,-25.61707148765191
0.09723240311283245,0.0113114071916751,14.508879476373064,28.58141012376184,16.55271965652807,16.217663889289543,1.0204209615400015,-0.11943308695946087,-9.550285243128003e-05,1.6110759188797602e-05,0.00016,0.00016,0.0011480037505571879,0.0016493300140404611,0.0016493300140525272,-4.993761770071521,-2.002498409101477,0.23943714427650725,0.12726198396092023,0.0016188609849512345,2.7609541956651,8.036999342524766,5.809949801616349,86.83277701507323,3.1194740997357404,7.3209933280286466,5.237406476452675,-51.32097324534731,119.51924432360794,2475036.040832519,1.2435829578534852,3.1194740997357404,2.7609541956651,3.1194740997357404,0.00089928829788679,0.0010862391819227639,0.0010862391819227639,0.0,7.873982812699518,0.041572354805359854,8.036999342524766,7.3209933280286466,5.809949801616349,5.237406476452675,86.83277701507323,1007.32317725269,1.2433359852418375,0.7825719140615364,0.0008578531530028861,0.0034841896819698013,2012-12-12 19:00:00,25.107981478125723
0.1092669394481109,0.014403115183266651,15.479133951888308,29.808488992078228,17.61399685109194,17.26401932663233,1.1041101049592772,-0.11338343727541444,-8.863047103931825e-05,1.5341950603967874e-05,0.00016,0.00016,0.0011039776548331355,0.0015831284672743055,0.0015831284672744336,-6.663443192048396,-1.5007256326478744,0.18974728286198556,0.1007739785824406,0.0014835497252144788,3.19008817038259,8.149989493773935,5.929143967719167,87.97544285745849,3.547500565201428,7.533437846797245,5.447192950844673,-35.86322053037867,100.70315946382888,2475046.136710637,1.2436117791464083,3.547500565201428,3.19008817038259,3.547500565201428,0.0008927311928894606,0.0010822718138348065,0.0010822718138348065,0.0,7.894041360721578,0.04335699394844352,8.149989493773935,7.533437846797245,5.929143967719167,5.447192950844673,87.97544285745849,1007.84870282185,1.2433948985982095,0.7988160826093843,0.0013629970863270951,0.005003898167654023,2012-12-12 20:00:00,19.552315989483677
0.11031907730109163,0.014701580624994144,14.569537483743096,28.02771779040873,16.578911549770364,16.24950596517573,1.0582643351305339,-0.10577977241192314,-8.26005545203825e-05,1.5332471458771235e-05,0.00016,0.00016,0.0010939171641005847,0.0015662426651427083,0.0015662426651466446,-7.284760217328843,-1.3727287792139264,0.1899838536863652,0.10089025148523902,0.00147193031263343,3.24229188243416,8.295958690176217,6.047556482947496,88.8271102105526,3.589252583742871,7.738858103652414,5.612531748811184,-42.73761689227391,181.5368904916344,2475056.232588756,1.2427079648984125,3.589252583742871,3.24229188243416,3.589252583742871,0.0008926487707674803,0.0010822218518758207,0.0010822218518758207,0.0,7.892910416710712,0.04076666328503433,8.295958690176217,7.738858103652414,6.047556482947496,5.612531748811184,88.8271102105526,1007.69218550162,1.2424676277180813,0.7829261346059126,0.0014158874898184258,0.005157009725214228,2012-12-12 21:00:00,96.20201832520868
0.10332154488909752,0.01290009754450198,11.249217314506184,24.118438443811343,12.975445495078178,12.6924572687549,0.8495162879165447,-0.08725768235373296,-7.593939712097749e-05,1.570765636395436e-05,0.00016,0.00016,0.0010929794912308082,0.001560463158789573,0.0015604631592576865,-7.648794266637421,-1.3073956039866423,0.3160668897529851,0.1677486029301418,0.0015178404186272725,3.04082753276284,8.571262600974713,6.1175002171389075,88.21833009349005,3.3587104177056673,8.119860183864116,5.724649679631315,-101.21801171839324,260.3106520530389,2475066.328466874,1.2419505601754415,3.3587104177056673,3.04082753276284,3.3587104177056673,0.000895881292802885,0.0010841795897576548,0.0010841795897576548,0.0,7.821131747033188,0.03508042487552387,8.571262600974713,8.119860183864116,6.1175002171389075,5.724649679631315,88.21833009349005,1008.02820851662,1.241614631738108,0.7214990770374977,0.0011316036372167524,0.0042304080196483886,2012-12-12 22:00:00,123.72498457632811
0.08923353992739044,0.009573140785648119,8.4272852476362,20.999900637332228,9.926235382569969,9.680505852252956,0.6634952785175153,-0.07573458642238166,-7.660526592296396e-05,1.721665757742084e-05,0.00016,0.00016,0.0011294117600043343,0.0016050955585304395,0.001605095560292522,-6.441677111061724,-1.5523907559458208,0.3461675591881039,0.18364228958491735,0.0016883146648089854,2.57192494792542,8.820378862634145,6.108089889262887,86.62795746521003,2.8679261776758,8.40362126719336,5.6865410575824455,-101.75020343588284,165.69499738225326,2475076.4243449927,1.2412003230819664,2.8679261776758,2.57192494792542,2.8679261776758,0.000908307608042788,0.0010916727485163476,0.0010916727485163476,0.0,7.801405969004922,0.030544366852996385,8.820378862634145,8.40362126719336,6.108089889262887,5.6865410575824455,86.62795746521003,1008.22731148777,1.2407698438023795,0.6598807962912929,0.0005961468398234184,0.002692710707185128,2012-12-12 23:00:00,34.517608061402
0.08236037084509008,0.008127437069925966,7.391551209066996,19.56529714247815,8.787362193014925,8.558540720236577,0.596487605407118,-0.07195879497916785,-7.731571726827808e-05,1.841091635171888e-05,0.00016,0.00016,0.0011567606597189732,0.0016384057914836892,0.0016384057915479508,-5.725671684320526,-1.746519980770905,0.2599130740193448,0.13774028982040742,0.0018345471667051809,2.33724148637957,9.002186529116335,6.147251397955829,86.1855900966003,2.6242714219694703,8.589855316160806,5.704224475520776,-59.505522213762525,27.56089213298648,2475086.520223111,1.2413949672755262,2.6242714219694703,2.33724148637957,2.6242714219694703,0.0009175572713742842,0.0010972171413900604,0.0010972171413900604,0.0,7.838703031748468,0.028457619213477895,9.002186529116335,8.589855316160806,6.147251397955829,5.704224475520776,86.1855900966003,1009.03001937114,1.2409280473105653,0.6334747703937157,0.0003721404680958926,0.0020993213551826063,2012-12-13 00:00:00,-58.90147843232119
0.09162879978458019,0.010184294680347351,5.613134191464578,21.135093833927428,7.1134971870332375,6.867536040218703,0.5095216889220001,-0.04912602629380436,-7.508300910575593e-05,1.6969039732061316e-05,0.00016,0.00016,0.0010816900552599335,0.0015288452568283275,0.0015288452579141877,-9.747725534626513,-1.0258803414681037,0.34645530994382145,0.1833701969478276,0.0016557390316772496,2.72275888676505,9.360870241779752,6.063609221739656,83.07110925454053,2.974526957722096,9.129404414732871,5.709842550364812,-98.79884310046873,0.0,2475096.6161012286,1.2411902530252423,2.974526957722096,2.7227588867650505,2.974526957722096,0.0009063279785678648,0.0010904824654375967,0.0010904824654375967,0.0,7.782682052837178,0.03074075464657614,9.360870241779752,9.129404414732871,6.063609221739656,5.709842550364812,83.07110925454053,1010.06093893522,1.2406818899933447,0.5902211497713881,0.0007035550358814362,0.0029447190561687504,2012-12-13 01:00:00,-125.54707112586074
0.10302647826901624,0.01289879608225147,8.317664466784354,25.439666514999686,10.126828099522289,9.8302438974341,0.685176055239688,-0.06464271446742276,-8.025259939389093e-05,1.5794421798937807e-05,0.00016,0.00016,0.0010691425073176756,0.0015200456095319323,0.0015200456096635827,-9.737692392738445,-1.0269373478522654,0.3384444449170543,0.1790302774015375,0.001514059559803075,3.08015804357126,9.009482771756543,5.945027533252418,83.43013840019701,3.3634619095891467,8.704781479886627,5.566747151422833,-100.36332869572604,0.0,2475106.711979348,1.2431098943331456,3.3634619095891467,3.08015804357126,3.3634619095891467,0.0008966203072528016,0.0010846266686422943,0.0010846266686422943,0.0,7.782305107084959,0.037001555937262974,9.009482771756543,8.704781479886627,5.945027533252418,5.566747151422833,83.43013840019701,1010.37407424716,1.2427015890092554,0.6638029033423436,0.0011372668079051244,0.00421616260118098,2012-12-13 02:00:00,-134.12065967751008
