YY,MM,DD,hh,mm,WTMP
2012,12,31,23,50,10.6
2013,01,01,00,50,10.7
2013,01,01,01,50,10.7
2013,01,01,02,50,10.7
2013,01,01,03,50,10.7
2013,01,01,04,50,10.7
2013,01,01,05,50,10.7
2013,01,01,06,50,10.7
2013,01,01,07,50,10.7
2013,01,01,08,50,10.7
2013,01,01,09,50,10.7
2013,01,01,10,50,10.7
2013,01,01,11,50,10.7
2013,01,01,12,50,10.7
2013,01,01,13,50,10.6
2013,01,01,14,50,10.6
2013,01,01,15,50,10.6
2013,01,01,16,50,10.6
2013,01,01,17,50,10.6
2013,01,01,18,50,10.7
2013,01,01,19,50,10.7
2013,01,01,20,50,10.7
2013,01,01,21,50,10.7
2013,01,01,22,50,10.7
2013,01,01,23,50,10.6
2013,01,02,00,50,10.7
2013,01,02,01,50,10.7
2013,01,02,02,50,10.6
2013,01,02,03,50,10.6
2013,01,02,04,50,10.6
2013,01,02,05,50,10.6
2013,01,02,06,50,10.6
2013,01,02,07,50,10.6
2013,01,02,08,50,10.6
2013,01,02,09,50,10.5
2013,01,02,10,50,10.5
2013,01,02,11,50,10.5
2013,01,02,12,50,10.5
2013,01,02,13,50,10.6
2013,01,02,14,50,10.5
2013,01,02,15,50,10.5
2013,01,02,16,50,10.6
2013,01,02,17,50,10.6
2013,01,02,18,50,10.6
2013,01,02,19,50,10.6
2013,01,02,20,50,10.6
2013,01,02,21,50,10.6
2013,01,02,22,50,10.7
2013,01,02,23,50,10.7
2013,01,03,00,50,10.6
2013,01,03,01,50,10.6
2013,01,03,02,50,10.5
2013,01,03,03,50,10.5
2013,01,03,04,50,10.5
2013,01,03,05,50,10.5
2013,01,03,06,50,10.5
2013,01,03,07,50,10.5
2013,01,03,08,50,10.5
2013,01,03,09,50,10.5
2013,01,03,10,50,10.4
2013,01,03,11,50,10.4
2013,01,03,12,50,10.4
2013,01,03,13,50,10.4
2013,01,03,14,50,10.4
2013,01,03,15,50,10.4
2013,01,03,16,50,10.3
2013,01,03,17,50,10.3
2013,01,03,18,50,10.3
2013,01,03,19,50,10.3
2013,01,03,20,50,10.4
2013,01,03,21,50,10.4
2013,01,03,22,50,10.5
2013,01,03,23,50,10.5
2013,01,04,00,50,10.5
2013,01,04,01,50,10.5
2013,01,04,02,50,10.6
2013,01,04,03,50,10.6
2013,01,04,04,50,10.6
2013,01,04,05,50,10.6
2013,01,04,06,50,10.6
2013,01,04,07,50,10.6
2013,01,04,08,50,10.6
2013,01,04,09,50,10.6
2013,01,04,10,50,10.6
2013,01,04,11,50,10.6
2013,01,04,12,50,10.6
2013,01,04,13,50,10.7
2013,01,04,14,50,10.6
2013,01,04,15,50,10.6
2013,01,04,16,50,10.5
2013,01,04,17,50,10.5
2013,01,04,18,50,10.6
2013,01,04,19,50,10.6
2013,01,04,20,50,10.7
2013,01,04,21,50,10.7
2013,01,04,22,50,10.7
2013,01,04,23,50,10.7
2013,01,05,00,50,10.6
2013,01,05,01,50,10.6
2013,01,05,02,50,10.6
2013,01,05,03,50,10.6
2013,01,05,04,50,10.6
2013,01,05,05,50,10.6
2013,01,05,06,50,10.6
2013,01,05,07,50,10.6
2013,01,05,08,50,10.6
2013,01,05,09,50,10.6
2013,01,05,10,50,10.6
2013,01,05,11,50,10.6
2013,01,05,12,50,10.6
2013,01,05,13,50,10.6
2013,01,05,14,50,10.6
2013,01,05,15,50,10.5
2013,01,05,16,50,10.5
2013,01,05,17,50,10.5
2013,01,05,18,50,10.5
2013,01,05,19,50,10.5
2013,01,05,20,50,10.5
2013,01,05,21,50,10.5
2013,01,05,22,50,10.5
2013,01,05,23,50,10.5
2013,01,06,00,50,10.5
2013,01,06,01,50,10.5
2013,01,06,02,50,10.5
2013,01,06,03,50,10.5
2013,01,06,04,50,10.5
2013,01,06,05,50,10.5
2013,01,06,06,50,10.5
2013,01,06,07,50,10.5
2013,01,06,08,50,10.5
2013,01,06,09,50,10.5
2013,01,06,10,50,10.5
2013,01,06,11,50,10.4
2013,01,06,12,50,10.4
2013,01,06,13,50,10.4
2013,01,06,14,50,10.4
2013,01,06,15,50,10.4
2013,01,06,16,50,10.4
2013,01,06,17,50,10.4
2013,01,06,18,50,10.4
2013,01,06,19,50,10.5
2013,01,06,20,50,10.5
2013,01,06,21,50,10.5
2013,01,06,22,50,10.5
2013,01,06,23,50,10.5
2013,01,07,00,50,10.5
2013,01,07,01,50,10.4
2013,01,07,02,50,10.4
2013,01,07,03,50,10.4
2013,01,07,04,50,10.4
2013,01,07,05,50,10.4
2013,01,07,06,50,10.4
2013,01,07,07,50,10.4
2013,01,07,08,50,10.4
2013,01,07,09,50,10.5
2013,01,07,10,50,10.5
2013,01,07,11,50,10.5
2013,01,07,12,50,10.5
2013,01,07,13,50,10.5
2013,01,07,14,50,10.5
2013,01,07,15,50,10.5
2013,01,07,16,50,10.5
2013,01,07,17,50,10.5
2013,01,07,18,50,10.5
2013,01,07,19,50,10.5
2013,01,07,20,50,10.5
2013,01,07,21,50,10.5
2013,01,07,22,50,10.5
2013,01,07,23,50,10.5
2013,01,08,00,50,10.5
2013,01,08,01,50,10.5
2013,01,08,02,50,10.5
2013,01,08,03,50,10.5
2013,01,08,04,50,10.5
2013,01,08,05,50,10.5
2013,01,08,06,50,10.5
2013,01,08,07,50,10.5
2013,01,08,08,50,10.5
2013,01,08,09,50,10.5
2013,01,08,10,50,10.5
2013,01,08,11,50,10.5
2013,01,08,12,50,10.5
2013,01,08,13,50,10.5
2013,01,08,14,50,10.5
2013,01,08,15,50,10.5
2013,01,08,16,50,10.5
2013,01,08,17,50,10.5
2013,01,08,18,50,10.5
2013,01,08,19,50,10.5
2013,01,08,20,50,10.5
2013,01,08,21,50,10.5
2013,01,08,22,50,10.6
2013,01,08,23,50,10.5
2013,01,09,00,50,10.5
2013,01,09,01,50,10.5
2013,01,09,02,50,10.6
2013,01,09,03,50,10.6
2013,01,09,04,50,10.6
2013,01,09,05,50,10.5
2013,01,09,06,50,10.5
2013,01,09,07,50,10.5
2013,01,09,08,50,10.5
2013,01,09,09,50,10.4
2013,01,09,10,50,10.4
2013,01,09,11,50,10.4
2013,01,09,12,50,10.4
2013,01,09,13,50,10.4
2013,01,09,14,50,10.4
2013,01,09,15,50,10.5
2013,01,09,16,50,10.4
2013,01,09,17,50,10.4
2013,01,09,18,50,10.4
2013,01,09,19,50,10.4
2013,01,09,20,50,10.4
2013,01,09,21,50,10.4
2013,01,09,22,50,10.4
2013,01,09,23,50,10.4
2013,01,10,00,50,10.4
2013,01,10,01,50,10.4
2013,01,10,02,50,10.4
2013,01,10,03,50,10.3
2013,01,10,04,50,10.3
2013,01,10,05,50,10.3
2013,01,10,06,50,10.3
2013,01,10,07,50,10.3
2013,01,10,08,50,10.3
2013,01,10,09,50,10.3
2013,01,10,10,50,10.3
2013,01,10,11,50,10.3
2013,01,10,12,50,10.3
2013,01,10,13,50,10.3
2013,01,10,14,50,10.3
2013,01,10,15,50,10.3
2013,01,10,16,50,10.3
2013,01,10,17,50,10.3
2013,01,10,18,50,10.3
2013,01,10,19,50,10.3
2013,01,10,20,50,10.3
2013,01,10,21,50,10.3
2013,01,10,22,50,10.3
2013,01,10,23,50,10.3
2013,01,11,00,50,10.3
2013,01,11,01,50,10.3
2013,01,11,02,50,10.3
2013,01,11,03,50,10.3
2013,01,11,04,50,10.3
2013,01,11,05,50,10.3
2013,01,11,06,50,10.3
2013,01,11,07,50,10.3
2013,01,11,08,50,10.3
2013,01,11,09,50,10.3
2013,01,11,10,50,10.3
2013,01,11,11,50,10.3
2013,01,11,12,50,10.3
2013,01,11,13,50,10.3
2013,01,11,14,50,10.3
2013,01,11,15,50,10.3
2013,01,11,16,50,10.3
2013,01,11,17,50,10.3
2013,01,11,18,50,10.1
2013,01,11,19,50,10.1
2013,01,11,20,50,10.2
2013,01,11,21,50,10.1
2013,01,11,22,50,10.0
2013,01,11,23,50,9.8
2013,01,12,00,50,9.7
2013,01,12,01,50,9.6
2013,01,12,02,50,9.5
2013,01,12,03,50,9.5
2013,01,12,04,50,9.5
2013,01,12,05,50,10.0
2013,01,12,06,50,10.0
2013,01,12,07,50,10.3
2013,01,12,08,50,10.0
2013,01,12,09,50,9.9
2013,01,12,10,50,9.3
2013,01,12,11,50,9.4
2013,01,12,12,50,9.3
2013,01,12,13,50,9.3
2013,01,12,14,50,9.3
2013,01,12,15,50,9.3
2013,01,12,16,50,9.3
2013,01,12,17,50,9.3
2013,01,12,18,50,9.3
2013,01,12,19,50,9.4
2013,01,12,20,50,9.5
2013,01,12,21,50,9.5
2013,01,12,22,50,9.5
2013,01,12,23,50,9.5
2013,01,13,00,50,9.5
2013,01,13,01,50,9.5
2013,01,13,02,50,9.6
2013,01,13,03,50,9.6
2013,01,13,04,50,9.4
2013,01,13,05,50,9.6
2013,01,13,06,50,10.0
2013,01,13,07,50,9.9
2013,01,13,08,50,9.4
2013,01,13,09,50,9.2
2013,01,13,10,50,9.1
2013,01,13,11,50,9.4
2013,01,13,12,50,9.6
2013,01,13,13,50,10.0
2013,01,13,14,50,10.1
2013,01,13,15,50,10.1
2013,01,13,16,50,10.0
2013,01,13,17,50,10.0
2013,01,13,18,50,10.0
2013,01,13,19,50,9.6
2013,01,13,20,50,9.3
2013,01,13,21,50,9.3
2013,01,13,22,50,9.0
2013,01,13,23,50,9.0
2013,01,14,00,50,8.9
2013,01,14,01,50,9.2
2013,01,14,02,50,10.0
2013,01,14,03,50,10.0
2013,01,14,04,50,10.0
2013,01,14,05,50,10.0
2013,01,14,06,50,10.0
2013,01,14,07,50,10.0
2013,01,14,08,50,10.0
2013,01,14,09,50,10.0
2013,01,14,10,50,10.0
2013,01,14,11,50,10.0
2013,01,14,12,50,10.0
2013,01,14,13,50,10.0
2013,01,14,14,50,10.0
2013,01,14,15,50,10.0
2013,01,14,16,50,10.1
2013,01,14,17,50,10.1
2013,01,14,18,50,10.1
2013,01,14,19,50,10.1
2013,01,14,20,50,10.1
2013,01,14,21,50,10.1
2013,01,14,22,50,10.1
2013,01,14,23,50,10.1
2013,01,15,00,50,10.1
2013,01,15,01,50,10.1
2013,01,15,02,50,10.1
2013,01,15,03,50,10.1
2013,01,15,04,50,10.1
2013,01,15,05,50,10.1
2013,01,15,06,50,10.1
2013,01,15,07,50,10.1
2013,01,15,08,50,10.1
2013,01,15,09,50,10.0
2013,01,15,10,50,10.0
2013,01,15,11,50,10.1
2013,01,15,12,50,10.0
2013,01,15,13,50,10.0
2013,01,15,14,50,10.0
2013,01,15,15,50,10.0
2013,01,15,16,50,10.0
2013,01,15,17,50,10.0
2013,01,15,18,50,10.0
2013,01,15,19,50,10.0
2013,01,15,20,50,10.0
2013,01,15,21,50,10.0
2013,01,15,22,50,10.0
2013,01,15,23,50,10.0
2013,01,16,00,50,10.1
2013,01,16,01,50,10.1
2013,01,16,02,50,10.1
2013,01,16,03,50,10.0
2013,01,16,04,50,10.0
2013,01,16,05,50,10.0
2013,01,16,06,50,10.0
2013,01,16,07,50,10.0
2013,01,16,08,50,10.0
2013,01,16,09,50,10.1
2013,01,16,10,50,10.1
2013,01,16,11,50,10.0
2013,01,16,12,50,10.0
2013,01,16,13,50,10.0
2013,01,16,14,50,10.0
2013,01,16,15,50,10.0
2013,01,16,16,50,10.0
2013,01,16,17,50,10.0
2013,01,16,18,50,10.0
2013,01,16,19,50,10.0
2013,01,16,20,50,9.9
2013,01,16,21,50,10.0
2013,01,16,22,50,10.0
2013,01,16,23,50,10.0
2013,01,17,00,50,9.9
2013,01,17,01,50,9.9
2013,01,17,02,50,9.7
2013,01,17,03,50,9.4
2013,01,17,04,50,9.4
2013,01,17,05,50,9.4
2013,01,17,06,50,9.3
2013,01,17,07,50,9.3
2013,01,17,08,50,9.3
2013,01,17,09,50,9.3
2013,01,17,10,50,9.4
2013,01,17,11,50,9.4
2013,01,17,12,50,9.3
2013,01,17,13,50,9.3
2013,01,17,14,50,9.2
2013,01,17,15,50,9.3
2013,01,17,16,50,9.3
2013,01,17,17,50,9.4
2013,01,17,18,50,9.5
2013,01,17,19,50,9.5
2013,01,17,20,50,9.5
2013,01,17,21,50,9.6
2013,01,17,22,50,9.5
2013,01,17,23,50,9.5
2013,01,18,00,50,9.5
2013,01,18,01,50,9.5
2013,01,18,02,50,9.5
2013,01,18,03,50,9.5
2013,01,18,04,50,9.5
2013,01,18,05,50,9.3
2013,01,18,06,50,9.3
2013,01,18,07,50,9.2
2013,01,18,08,50,9.2
2013,01,18,09,50,9.2
2013,01,18,10,50,9.2
2013,01,18,11,50,9.2
2013,01,18,12,50,9.2
2013,01,18,13,50,9.2
2013,01,18,14,50,9.2
2013,01,18,15,50,9.2
2013,01,18,16,50,9.1
2013,01,18,17,50,9.1
2013,01,18,18,50,9.2
2013,01,18,19,50,9.3
2013,01,18,20,50,9.3
2013,01,18,21,50,9.4
2013,01,18,22,50,9.5
2013,01,18,23,50,9.5
2013,01,19,00,50,9.5
2013,01,19,01,50,9.4
2013,01,19,02,50,9.4
2013,01,19,03,50,9.4
2013,01,19,04,50,9.3
2013,01,19,05,50,9.3
2013,01,19,06,50,9.3
2013,01,19,07,50,9.3
2013,01,19,08,50,9.3
2013,01,19,09,50,9.3
2013,01,19,10,50,9.2
2013,01,19,11,50,9.2
2013,01,19,12,50,9.2
2013,01,19,13,50,9.2
2013,01,19,14,50,9.2
2013,01,19,15,50,9.2
2013,01,19,16,50,9.2
2013,01,19,17,50,9.2
2013,01,19,18,50,9.3
2013,01,19,19,50,9.3
2013,01,19,20,50,9.3
2013,01,19,21,50,9.3
2013,01,19,22,50,9.4
2013,01,19,23,50,9.4
2013,01,20,00,50,9.4
2013,01,20,01,50,9.3
2013,01,20,02,50,9.3
2013,01,20,03,50,9.4
2013,01,20,04,50,9.3
2013,01,20,05,50,9.3
2013,01,20,06,50,9.4
2013,01,20,07,50,9.4
2013,01,20,08,50,9.3
2013,01,20,09,50,9.3
2013,01,20,10,50,9.3
2013,01,20,11,50,9.3
2013,01,20,12,50,9.3
2013,01,20,13,50,9.2
2013,01,20,14,50,9.3
2013,01,20,15,50,9.4
2013,01,20,16,50,9.3
2013,01,20,17,50,9.4
2013,01,20,18,50,9.2
2013,01,20,19,50,9.3
2013,01,20,20,50,9.3
2013,01,20,21,50,9.4
2013,01,20,22,50,9.4
2013,01,20,23,50,9.4
2013,01,21,00,50,9.4
2013,01,21,01,50,9.4
2013,01,21,02,50,9.4
2013,01,21,03,50,9.3
2013,01,21,04,50,9.3
2013,01,21,05,50,9.3
2013,01,21,06,50,9.2
2013,01,21,07,50,9.3
2013,01,21,08,50,9.3
2013,01,21,09,50,9.3
2013,01,21,10,50,9.2
2013,01,21,11,50,9.3
2013,01,21,12,50,9.3
