date_day,surfaceRiver,bottomRiver,EstimatedTemp,plot_date
2013-10-30,10.348980273239645,10.17346032914626,10.261220301192953,2013-10-30 12:00:00
2013-10-31,10.116777843410064,10.126700617136585,10.121739230273324,2013-10-31 12:00:00
2013-11-01,9.884575413580484,10.079940905126907,9.982258159353695,2013-11-01 12:00:00
2013-11-02,9.831940543437572,10.033181193117231,9.932560868277402,2013-11-02 12:00:00
2013-11-03,9.831933374858421,9.781237489745886,9.806585432302153,2013-11-03 12:00:00
2013-11-04,9.548752844423838,9.52929378637454,9.539023315399188,2013-11-04 12:00:00
2013-11-05,9.623061514628219,9.639615933639426,9.631338724133823,2013-11-05 12:00:00
2013-11-06,9.930877472668726,9.939288558428384,9.935083015548555,2013-11-06 12:00:00
2013-11-07,10.476880143483845,10.047885308584899,10.262382726034371,2013-11-07 12:00:00
2013-11-08,10.61002922995734,10.156482058741414,10.383255644349376,2013-11-08 12:00:00
2013-11-09,10.030000007040798,10.26507880889793,10.147539407969365,2013-11-09 12:00:00
2013-11-10,10.06571265227203,10.373675559054446,10.219694105663237,2013-11-10 12:00:00
2013-11-11,10.101425297503262,10.20341397295961,10.152419635231436,2013-11-11 12:00:00
2013-11-12,10.257542902417377,10.515570405672499,10.386556654044938,2013-11-12 12:00:00
2013-11-13,10.481046788532126,10.61374921678478,10.547398002658454,2013-11-13 12:00:00
2013-11-14,10.332550661120148,10.664605433617576,10.498578047368863,2013-11-14 12:00:00
2013-11-15,9.892111038557037,10.153257750189487,10.022684394373261,2013-11-15 12:00:00
2013-11-16,9.47379883495362,9.814503221839045,9.644151028396333,2013-11-16 12:00:00
2013-11-17,9.531562554475336,9.665200014312427,9.59838128439388,2013-11-17 12:00:00
2013-11-18,9.510300994237147,9.527561694873468,9.518931344555307,2013-11-18 12:00:00
2013-11-19,9.91199999986589,9.664364561357209,9.788182280611549,2013-11-19 12:00:00
2013-11-20,9.464331796742153,9.80116742784095,9.632749612291551,2013-11-20 12:00:00
2013-11-21,7.1907377047572645,8.623516185846935,7.9071269453021,2013-11-21 12:00:00
2013-11-22,5.408862559362468,6.579625136643445,5.994243848002957,2013-11-22 12:00:00
2013-11-23,4.838361581953105,4.985873701055017,4.912117641504061,2013-11-23 12:00:00
2013-11-24,4.97787610622436,4.899052340748773,4.938464223486567,2013-11-24 12:00:00
2013-11-25,4.8770731709688535,4.81223098044253,4.844652075705692,2013-11-25 12:00:00
2013-11-26,4.712857142878429,4.725409620136286,4.7191333815073575,2013-11-26 12:00:00
2013-11-27,5.1628166503094635,4.638588259830042,4.900702455069753,2013-11-27 12:00:00
2013-11-28,5.8283370140976745,5.4869153303089995,5.6576261722033365,2013-11-28 12:00:00
2013-11-29,5.5551239389878075,5.6182439973444955,5.5866839681661515,2013-11-29 12:00:00
2013-11-30,5.761920844607424,5.561890675834456,5.6619057602209395,2013-11-30 12:00:00
2013-12-01,6.700128555831336,6.190674052918122,6.4454013043747285,2013-12-01 12:00:00
2013-12-02,9.005625000335275,8.003343830524543,8.504484415429909,2013-12-02 12:00:00
2013-12-03,8.23922764225598,8.661976044028096,8.450601843142039,2013-12-03 12:00:00
2013-12-04,6.731456310596606,7.5258368971606835,7.128646603878645,2013-12-04 12:00:00
2013-12-05,4.789127907056664,6.017551257873326,5.403339582464995,2013-12-05 12:00:00
2013-12-06,3.9109999998610996,4.149345866022036,4.030172932941568,2013-12-06 12:00:00
2013-12-07,3.469816513761468,3.2780111612579454,3.373913837509707,2013-12-07 12:00:00
2013-12-08,1.7897222220126747,2.503084871342553,2.1464035466776137,2013-12-08 12:00:00
2013-12-09,1.3657281549947644,1.7389432001709513,1.5523356775828578,2013-12-09 12:00:00
2013-12-10,2.3523140488164724,1.1274110574803706,1.7398625531484215,2013-12-10 12:00:00
2013-12-11,2.849310344538555,1.5150517361080895,2.1821810403233224,2013-12-11 12:00:00
2013-12-12,3.495148191978349,1.9026924147358084,2.6989203033570788,2013-12-12 12:00:00
2013-12-13,4.140986039418143,2.290333093363527,3.215659566390835,2013-12-13 12:00:00
2013-12-14,3.8596817137034347,3.2407023479085413,3.550192030805988,2013-12-14 12:00:00
2013-12-15,4.4612039268766015,3.73693636564954,4.09907014626307,2013-12-15 12:00:00
2013-12-16,5.590492846562273,4.734439825183686,5.162466335872979,2013-12-16 12:00:00
2013-12-17,5.856421169848551,5.529245574978698,5.692833372413625,2013-12-17 12:00:00
2013-12-18,5.827839829536387,5.619253128431466,5.723546478983927,2013-12-18 12:00:00
2013-12-19,5.889762494967385,5.96441763396275,5.927090064465068,2013-12-19 12:00:00
2013-12-20,5.310747593728976,5.240682878943452,5.2757152363362145,2013-12-20 12:00:00
2013-12-21,5.110730328268936,5.136962293461068,5.123846310865002,2013-12-21 12:00:00
2013-12-22,5.84383091030216,5.461145106187049,5.652488008244605,2013-12-22 12:00:00
2013-12-23,6.546805663102476,6.0260708983492375,6.286438280725857,2013-12-23 12:00:00
2013-12-24,7.149999997653067,6.425924230114479,6.787962113883773,2013-12-24 12:00:00
2013-12-25,6.522444444094267,6.82577756187972,6.674111002986994,2013-12-25 12:00:00
2013-12-26,6.1216896130514264,6.219832773588463,6.170761193319945,2013-12-26 12:00:00
2013-12-27,5.720934782008586,5.627918149779225,5.674426465893905,2013-12-27 12:00:00
2013-12-28,5.278444570673115,5.668651624699336,5.473548097686226,2013-12-28 12:00:00
2013-12-29,4.97797837803691,5.468767471548105,5.223372924792507,2013-12-29 12:00:00
2013-12-30,4.450572508973247,4.318551679494157,4.3845620942337025,2013-12-30 12:00:00
2013-12-31,4.4831520836556225,4.271769335141011,4.377460709398317,2013-12-31 12:00:00
2014-01-01,4.575722021983056,4.329793986746668,4.452758004364862,2014-01-01 12:00:00
2014-01-02,4.62514991582543,4.252381217256884,4.438765566541157,2014-01-02 12:00:00
2014-01-03,4.852155075718043,4.540981362330892,4.696568219024467,2014-01-03 12:00:00
2014-01-04,5.136401179448437,5.078675328718483,5.10753825408346,2014-01-04 12:00:00
2014-01-05,4.831133514278907,4.6649801059817175,4.748056810130312,2014-01-05 12:00:00
2014-01-06,4.416921387071851,4.226891803194521,4.321906595133186,2014-01-06 12:00:00
2014-01-07,4.425790887962003,4.288288381132558,4.357039634547281,2014-01-07 12:00:00
2014-01-08,5.052710182195664,4.678037566640757,4.865373874418211,2014-01-08 12:00:00
2014-01-09,5.86012673712625,5.293674180629639,5.576900458877944,2014-01-09 12:00:00
2014-01-10,7.104444436137047,6.107143601281274,6.605794018709161,2014-01-10 12:00:00
2014-01-11,8.286106525170675,6.920613021932911,7.603359773551793,2014-01-11 12:00:00
2014-01-12,8.152424242444562,8.07269703360343,8.112560638023997,2014-01-12 12:00:00
2014-01-13,8.415659722124433,8.14767622819169,8.281667975158062,2014-01-13 12:00:00
2014-01-14,8.595898617565597,8.567592844901432,8.581745731233514,2014-01-14 12:00:00
2014-01-15,7.466949308766035,7.796532333730196,7.6317408212481155,2014-01-15 12:00:00
2014-01-16,6.337999999966472,7.025471822558961,6.681735911262717,2014-01-16 12:00:00
2014-01-17,5.745287356308351,6.2544113113877255,5.999849333848038,2014-01-17 12:00:00
2014-01-18,5.526620689595054,5.422327787315047,5.47447423845505,2014-01-18 12:00:00
2014-01-19,5.799649122939364,5.25864375962456,5.529146441281962,2014-01-19 12:00:00
2014-01-20,5.613999999959767,,5.613999999959767,2014-01-20 12:00:00
2014-01-21,5.48,,5.48,2014-01-21 12:00:00
2014-01-22,6.0900000001117585,,6.0900000001117585,2014-01-22 12:00:00
2014-01-23,6.0623684212732085,,6.0623684212732085,2014-01-23 12:00:00
2014-01-24,5.831481481357304,,5.831481481357304,2014-01-24 12:00:00
2014-01-25,6.362760434970062,6.778651873761113,6.570706154365588,2014-01-25 12:00:00
2014-01-26,6.10144586258003,6.838415184249402,6.469930523414716,2014-01-26 12:00:00
2014-01-27,5.430152999156391,6.579285156341067,6.004719077748729,2014-01-27 12:00:00
2014-01-28,5.473664183811024,5.300610748210026,5.387137466010525,2014-01-28 12:00:00
2014-01-29,6.429191907347589,5.7123387754799015,6.070765341413745,2014-01-29 12:00:00
2014-01-30,7.866451613649485,6.754337180791277,7.310394397220381,2014-01-30 12:00:00
2014-01-31,7.772413793120791,7.796335586102651,7.78437468961172,2014-01-31 12:00:00
2014-02-01,7.424749463163262,7.5617739673854185,7.49326171527434,2014-02-01 12:00:00
2014-02-02,6.794458407765326,7.0512565606609,6.922857484213113,2014-02-02 12:00:00
2014-02-03,6.9537480327820775,7.005397566147316,6.979572799464696,2014-02-03 12:00:00
2014-02-04,6.673819061982887,6.731872212117844,6.702845637050366,2014-02-04 12:00:00
2014-02-05,6.295307477195984,6.550033184387159,6.422670330791572,2014-02-05 12:00:00
2014-02-06,4.676551724161053,4.952515601451523,4.814533662806288,2014-02-06 12:00:00
2014-02-07,3.4455302266918313,3.354998018515888,3.4002641226038595,2014-02-07 12:00:00
2014-02-08,3.110864362172416,2.778082909063168,2.9444736356177916,2014-02-08 12:00:00
2014-02-09,3.6007229865738677,2.622538640029168,3.1116308133015176,2014-02-09 12:00:00
2014-02-10,5.577117647155462,4.509479778501813,5.043298712828637,2014-02-10 12:00:00
2014-02-11,6.830868055655673,5.932632926579866,6.381750491117769,2014-02-11 12:00:00
2014-02-12,8.225034722579617,7.231832919881358,7.728433821230487,2014-02-12 12:00:00
2014-02-13,8.92156249985215,8.554614055319545,8.738088277585849,2014-02-13 12:00:00
2014-02-14,9.226527777761481,8.889738591609298,9.058133184685389,2014-02-14 12:00:00
2014-02-15,9.091041666663175,8.981413032229941,9.036227349446559,2014-02-15 12:00:00
2014-02-16,8.757187500062864,8.74566065193807,8.751424076000468,2014-02-16 12:00:00
2014-02-17,8.66732638890053,8.517397481583528,8.592361935242028,2014-02-17 12:00:00
2014-02-18,8.829652777724228,8.788420913784359,8.809036845754292,2014-02-18 12:00:00
2014-02-19,8.451111111070368,8.408149137670513,8.42963012437044,2014-02-19 12:00:00
