# usr,tau,hsb,hlb,hbb,hsbb,hlwebb,tsr,qsr,zo,zot,zoq,Cd,Ch,Ce,L,zeta,dT_skinx,dq_skinx,dz_skin,Urf,Trf,Qrf,RHrf,UrfN,TrfN,QrfN,lw_net,sw_net,Le,rhoa,UN,U10,U10N,Cdn_10,Chn_10,Cen_10,hrain,Qs,Evap,T10,T10N,Q10,Q10N,RH10,P10,rhoa10,gust,wc_frac,Edis,Tm (UTC),Qnet,lowpass
0.0850113868919013,0.0087951368777803,3.545551739872777,25.328054702496427,5.34351084589508,5.048763451465193,0.4542431722885971,-0.0333679939956449,-9.686139514993016e-05,1.816988900486492e-05,0.00016,0.00016,0.0010871537895793,0.0015265401949365,0.0015265402316168,-10.439075584637408,-0.95793922736956,0.3023181655239443,0.1723077644442601,0.0018214554066375,2.5221262148672894,10.894286203569928,6.253725794776299,77.91930905337459,2.7480770355803186,10.741380473185142,5.809867456351079,-88.56970435921642,340.0200805653062,2472411.8749999995,1.2440939929095438,2.7480770355803186,2.5221262148672894,2.7480770355803186,0.0009157286685318,0.0010961232723363,0.0010961232723363,0.0,8.483949507482668,0.0368793718599119,10.894286203569928,10.741380473185142,6.253725794776299,5.809867456351079,77.91930905337459,1017.98978687572,1.2435272275776683,0.5352139207777356,0.0004820211583224,0.0023472530071609,2013-04-22 01:00:00,222.57676976372065,11.55103049705464
0.0871563313535444,0.0091590277314569,7.7501334052430595,27.61683159347132,9.721178046674112,9.398055974308368,0.7103295991655617,-0.0710173776382185,-0.0001028446910625,1.7684965544030036e-05,0.00016,0.00016,0.001139453800599,0.0016169673854207,0.0016169673879531,-6.182666584430341,-1.6174250808191335,0.3492246626079324,0.2005646576969232,0.0017646984203983,2.4979279124941,10.171488855619664,6.265047454944631,81.85988209747855,2.7921112486308064,9.775075991981767,5.690977278744512,-91.33025545918149,155.6841097671621,2472127.475,1.2462987832846273,2.7921112486308064,2.4979279124941,2.792111248630805,0.0009119921222754,0.001093884671513,0.001093884671513,0.0,8.530241992510563,0.0402166129141446,10.171488855619664,9.775075991981767,6.265047454944631,5.690977278744512,81.85988209747855,1017.31632838636,1.245866213095121,0.6533807928556171,0.0005231028648138,0.0025111715200925,2013-04-22 02:00:00,28.98688930926626,10.444863166325202
0.1049177664754305,0.0132902507726158,16.25507797330558,34.35472961421502,18.72691983297412,18.321699855979272,1.2691900650394392,-0.1233290859958637,-0.0001059534622307,1.5623740531676076e-05,0.00016,0.00016,0.0011277806152704,0.0016203953755814,0.0016203953755857,-5.601994859514972,-1.7850783963171672,0.3652232663885157,0.2128548032429359,0.0015146311479019,3.0166210202256294,9.265952936213449,6.350467962678425,88.19997273619614,3.385960404387552,8.554058792477779,5.738871365967237,-94.4131237993292,7.723405940368181,2471560.65,1.2504060703390976,3.385960404387552,3.0166210202256294,3.385960404387552,0.0008951635318438,0.001083745191966,0.001083745191966,0.0,8.66396087007527,0.0500400532801709,9.265952936213449,8.554058792477779,6.350467962678425,5.738871365967237,88.19997273619614,1017.66057520993,1.2502188460135863,0.8127291544796441,0.0011641971642486,0.0044274598042189,2013-04-22 03:00:00,-137.29952544648162,10.274989093516517
0.119108692029797,0.0172180031721836,22.803883899436872,37.1846732873413,25.493292964857115,25.052406232821006,1.677586589260076,-0.1519351944659604,-0.000100696330345,1.5214685819779189e-05,0.00016,0.00016,0.0011140932023779,0.0016018808291318,0.0016018808291316,-6.024721793062407,-1.6598276805935184,0.3544071890725664,0.2049388796498654,0.0013590451920213,3.4529876122477,8.505807607733926,6.3809741296696805,93.34034060994456,3.859806783999392,7.650137320168121,5.813871436669513,-96.47740486651156,0.0,2471856.9,1.2542483704382388,3.859806783999392,3.4529876122476995,3.859806783999391,0.0008916212999488,0.001081598834421,0.001081598834421,0.0,8.59382569952937,0.0541555718028938,8.505807607733926,7.650137320168121,6.3809741296696805,5.813871436669513,93.34034060994456,1018.19027303958,1.2542221253350403,0.9004956508768842,0.0017728086150043,0.0065246861623294,2013-04-22 04:00:00,-156.46596205328973,11.25441229808345
0.1237961945556685,0.0186639427246409,25.7484623803584,37.82638213521202,28.482704785257106,28.034468325437643,1.7920160503049765,-0.1645139900868643,-9.818549170652152e-05,1.5250166550000236e-05,0.00016,0.00016,0.0011138796853972,0.0016010854049907,0.0016010854049906,-6.057922052663479,-1.6507310449138763,0.3558268823294287,0.1999778829261292,0.0013135748301048,3.58970881772598,7.7478855239687325,6.160279809944429,94.93843525936664,4.0115538253100205,6.82311765150755,5.608358430953787,-98.9557738433316,0.0,2472990.55,1.2583971748194192,4.0115538253100205,3.58970881772598,4.0115538253100205,0.000891931454105,0.0010817869373779,0.0010817869373779,0.0,8.318995206744374,0.0550648993328192,7.7478855239687325,6.82311765150755,6.160279809944429,5.608358430953787,94.93843525936664,1018.72734037978,1.2584382733883468,0.9341605394521256,0.0019832302177032,0.0073496820771215,2013-04-22 05:00:00,-162.53061835890202,13.555732399127308
0.1196033609130363,0.0173144508112364,31.46153568337609,44.08157173425072,34.640886375340045,34.119681343870546,2.069677502186636,-0.207509075664683,-0.0001181369191969,1.5029612739996305e-05,0.00016,0.00016,0.0011481328070096,0.0016634030295137,0.0016634030295137,-4.49229279432449,-2.226034779530373,0.4061519158357654,0.2304630267539053,0.0013440568691726,3.38604924707931,7.041750976476775,5.853431882703022,94.69571236552264,3.845879874619017,5.75498086127971,5.120861239046993,-105.7670403080545,0.0,2472589.625,1.2617578157862084,3.845879874619017,3.38604924707931,3.845879874619017,0.000889994324664,0.0010806115665817,0.0010806115665817,0.0,8.382303150557398,0.0641811551091106,7.041750976476775,5.75498086127971,5.853431882703022,5.120861239046993,94.69571236552264,1018.79818266221,1.2619327083234704,0.996995043188859,0.0017538553499106,0.0065945033210307,2013-04-22 06:00:00,-181.31014772568133,17.29877093314239
0.1203560839594938,0.0175052221477866,36.03809638924577,50.2300261805688,39.648329127268575,39.056487694805824,2.253353924777985,-0.235621747627039,-0.0001334430495327,1.4958940804884672e-05,0.00016,0.00016,0.0011625471138251,0.0016899386317849,0.0016899386317849,-4.001055698963551,-2.499340362242505,0.4392591777159216,0.2493766513083062,0.0013301770596176,3.37240178001614,6.478574442627668,5.542772364177187,93.26032512768896,3.855703332544711,4.964091835037509,4.685053670311223,-111.8675351788854,0.0,2472546.175,1.2648964883697906,3.855703332544711,3.37240178001614,3.855703332544711,0.0008893689443973,0.0010802318383693,0.0010802318383693,0.0,8.369056584089737,0.0731343649224458,6.478574442627668,4.964091835037509,5.542772364177187,4.685053670311223,93.26032512768896,1019.17534768787,1.265181188042674,1.042651044159397,0.0017672178246086,0.0067114799977059,2013-04-22 07:00:00,-198.1356577487,22.54055580195008
0.1088891772443893,0.0141587463210125,37.4968269663059,50.899481680757376,41.14489838649512,40.54685389138213,2.226972983376366,-0.2702203143738189,-0.0001490429197252,1.4962337459057104e-05,0.00016,0.00016,0.0012105352066437,0.0017767626848461,0.0017767626848463,-2.8566510914604053,-3.50060251666496,0.4889748089281312,0.2772433230734268,0.001437401787709,2.94634092828973,5.865598985412329,5.272129234073951,92.60246557744378,3.4373470247298346,3.9483696999882736,4.214660808191774,-115.71146961325417,0.0,2472571.85,1.2684354562907847,3.4373470247298346,2.94634092828973,3.4373470247298346,0.0008893990540093,0.001080250123855,0.001080250123855,0.0,8.329334089912201,0.0741083152146727,5.865598985412329,3.9483696999882736,5.272129234073951,4.214660808191774,92.60246557744378,1019.67883105597,1.2687957410608623,1.0553647422600916,0.0012264108871991,0.0049111680008552,2013-04-22 08:00:00,-204.10777826031745,29.268335079540915
0.0879171308849883,0.0088985158671169,34.51000570787021,43.920251345973625,37.65439316778359,37.138919813699424,1.970731924842121,-0.3072388412589217,-0.0001588551834848,1.6802999842955895e-05,0.00016,0.00016,0.0013283823885576,0.0019650811939829,0.0019650811939913,-1.6432997434283256,-6.08531708228564,0.5462661212202158,0.306653956393366,0.0016820565940101,2.183788356851,5.229490262557088,5.123874044750066,94.0866965216561,2.645761519177368,2.7032633074589048,3.8177102640507727,-116.42625009155232,0.0,2472964.8749999995,1.2716628135900532,2.645761519177368,2.183788356851,2.645761519177368,0.0009049879784948,0.0010896760316032,0.0010896760316032,0.0,8.203273699947385,0.0639365752598912,5.229490262557088,2.7032633074589048,5.123874044750066,3.8177102640507727,94.0866965216561,1019.87227295648,1.2720508095102845,1.0245685843086885,0.0003905944352525,0.0024705479427694,2013-04-22 09:00:00,-194.85650714539617,37.39613731548025
0.0850511524122717,0.0082749655117993,33.99272097148101,42.41062433143805,37.022873453602415,36.52612714505792,1.8705556419723108,-0.3122824154628962,-0.0001582383354581,1.7227728996028578e-05,0.00016,0.00016,0.0013497486974406,0.0019977271454009,0.0019977271454134,-1.5137492262595555,-6.606114029012455,0.5418894051823382,0.2968797439025979,0.0016934297671044,2.07885772953805,4.87698303347814,4.947270652938523,93.14816454682703,2.534041453274668,2.2559005343864555,3.6191275644461234,-115.59377759020433,0.0,2473705.5,1.2738983138284656,2.534041453274668,2.07885772953805,2.534041453274668,0.0009083956046269,0.0010917256277091,0.0010917256277091,0.0,7.9876614889026305,0.061720462517942,4.87698303347814,2.2559005343864555,4.947270652938523,3.6191275644461234,93.14816454682703,1020.26160341703,1.2742866327215712,1.0186478183686527,1e-05,0.0022183623619623,2013-04-22 10:00:00,-191.9971228931234,46.76522174924672
