# usr,tau,hsb,hlb,hbb,hsbb,hlwebb,tsr,qsr,zo,zot,zoq,Cd,Ch,Ce,L,zeta,dT_skinx,dq_skinx,dz_skin,Urf,Trf,Qrf,RHrf,UrfN,TrfN,QrfN,lw_net,sw_net,Le,rhoa,UN,U10,U10N,Cdn_10,Chn_10,Cen_10,hrain,Qs,Evap,T10,T10N,Q10,Q10N,RH10,P10,rhoa10,gust,wc_frac,Edis
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,1.258267470196245741e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.007046089695489968e+03,nan,2.000000000000000111e-01,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.275999688651802444e+01,nan,1.253896393340407256e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.007439359753690042e+03,nan,2.000000000000000111e-01,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.618257453977240914e+02,nan,1.241133338084126958e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.007808383845890035e+03,nan,2.000000000000000111e-01,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.047800549689477521e+02,nan,1.232310272064244927e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.008064608897799985e+03,nan,2.000000000000000111e-01,nan,nan
2.360356215416797160e-02,6.806512171177889160e-04,-1.750232253317125508e+00,3.327836268107159157e+00,-1.520803610417924112e+00,-1.558414863352219459e+00,-4.882974521991530897e-02,6.006392751683703457e-02,-4.629331344651011301e-05,6.654841201200081108e-05,1.600000000000000131e-04,1.600000000000000131e-04,1.601605833819831951e-04,2.630595314709008206e-04,2.630595285443007234e-04,7.791069172984615987e-01,1.283520884999302680e+01,2.656191507766199611e-01,1.308514726672189987e-01,3.377140986690499534e-03,1.854335371988339976e+00,1.651282169585563508e+01,1.516452687084480999e+00,1.302616066057341548e+01,6.993400731677725801e-01,1.079771032860444890e+01,5.921283553859016280e+00,-7.951531405725592094e+01,4.089848803384322764e+02,2.478478536362480838e+06,1.228799346875163456e+00,6.993400731677725801e-01,1.854335371988340198e+00,6.993400731677728022e-01,1.126044044868620845e-03,1.215496414967466793e-03,1.215496414967466793e-03,0.000000000000000000e+00,7.199317168286738067e+00,4.833695506909022402e-03,1.651282169585563508e+01,1.079771032860444890e+01,1.516452687084480999e+00,5.921283553859016280e+00,1.302616066057341548e+01,1.008441660142809951e+03,1.211457781861431604e+00,2.000000000000000111e-01,1.000000000000000082e-05,4.548289412822798254e-05
3.743844783561411926e-02,1.714321559895273578e-03,-3.758431828529269492e+00,7.662787286920910823e+00,-3.227763482442380649e+00,-3.314758293276295564e+00,-9.674419714268300829e-02,8.144803585664139867e-02,-6.733107179572544825e-05,4.179685170249672121e-05,1.600000000000000131e-04,1.600000000000000131e-04,2.136728369307215678e-04,3.831908977234670111e-04,3.831908785766449167e-04,1.465051973070716107e+00,6.825696414742354889e+00,2.389309495367861746e-01,1.198341219952513137e-01,3.122473060187681837e-03,2.553377348981289874e+00,1.600122239356382181e+01,1.941437402327351514e+00,1.722721714939895321e+01,1.155673910989782893e+00,1.169536210489486194e+01,5.500985342182214133e+00,-7.854265404818328022e+01,4.646071022645610924e+02,2.477813500000860542e+06,1.226831144499270110e+00,1.155673910989782893e+00,2.553377348981289874e+00,1.155673910989782893e+00,1.043058581354031891e-03,1.169850441750349898e-03,1.169850441750349898e-03,0.000000000000000000e+00,7.359814798032908278e+00,1.113321653663833059e-02,1.600122239356382181e+01,1.169536210489486194e+01,1.941437402327351514e+00,5.500985342182214133e+00,1.722721714939895321e+01,1.008567427636869979e+03,1.213438229006777780e+00,2.000000000000000111e-01,nan,1.887901697976450876e-04
3.788636705322745435e-02,1.753530516338384698e-03,-4.245943238187688706e+00,8.001597090680805380e+00,-3.691583623825771987e+00,-3.782462249131004040e+00,-1.082076591426187062e-01,9.105084476950227323e-02,-6.956116952751514762e-05,4.137242660967080344e-05,1.600000000000000131e-04,1.600000000000000131e-04,2.037400493347259721e-04,3.619813051717054404e-04,3.619812913557472430e-04,1.326841006179636739e+00,7.536698031961587496e+00,2.293785832571488270e-01,1.139818806906475607e-01,3.173384842083671470e-03,2.646722165225789958e+00,1.702430575983450112e+01,1.367357774995944464e+00,1.136764513158792766e+01,1.170711679702004515e+00,1.179085548867280586e+01,5.365617455591864093e+00,-7.657821829994928464e+01,4.649465639336942218e+02,2.478238125000860542e+06,1.225134607038721679e+00,1.170711679702004515e+00,2.646722165225789958e+00,1.170711679702004515e+00,1.041341588998169346e-03,1.168887192135892013e-03,1.168887192135892013e-03,0.000000000000000000e+00,7.286013891585525037e+00,1.162347929194289947e-02,1.702430575983450112e+01,1.179085548867280586e+01,1.367357774995944464e+00,5.365617455591864093e+00,1.136764513158792766e+01,1.008125677264819956e+03,1.209053377457567580e+00,2.000000000000000111e-01,nan,1.955794809639522375e-04
3.966401105847201097e-02,1.921589913250246716e-03,-4.810203611796109335e+00,8.422346400489852059e+00,-4.227209711776816370e+00,-4.322782482271783522e+00,-1.245196365416699896e-01,9.857138429876438623e-02,-6.995702522591236362e-05,3.950158937156631459e-05,1.600000000000000131e-04,1.600000000000000131e-04,2.032552410696664038e-04,3.617896095635137073e-04,3.617896037650789498e-04,1.329418532875488834e+00,7.522085598107563165e+00,2.386556665873732497e-01,1.174941129459610850e-01,3.118304178031456458e-03,2.774921256050349783e+00,1.747800433221516414e+01,1.258494047746072209e+00,1.016638967493589618e+01,1.230532773194286555e+00,1.182170027981402249e+01,5.272825469529879072e+00,-7.379573210328587152e+01,4.007823131419892775e+02,2.478635099994371645e+06,1.224595163092691230e+00,1.230532773194286555e+00,2.774921256050349783e+00,1.230532773194286555e+00,1.033610019251682407e-03,1.164539833780856666e-03,1.164539833780856666e-03,0.000000000000000000e+00,7.204150391199722669e+00,1.223271914523937735e-02,1.747800433221516414e+01,1.182170027981402249e+01,1.258494047746072209e+00,5.272825469529879072e+00,1.016638967493589618e+01,1.008035843534750029e+03,1.207138517865940619e+00,2.000000000000000111e-01,nan,2.252177373052805724e-04
3.947088698003412000e-02,1.905388565834894394e-03,-3.550666525665000517e+00,1.120209329707359736e+01,-2.768223950774039821e+00,-2.896493225346328249e+00,-5.562309736031918056e-02,7.297887195443680808e-02,-9.340314111922761809e-05,3.956279957833341252e-05,1.600000000000000131e-04,1.600000000000000131e-04,2.472097685442513760e-04,4.534777648310268352e-04,4.534777601162828320e-04,2.001177739162241398e+00,4.997057384910911892e+00,3.104429580270667288e-01,1.610445620239398801e-01,2.904415541699705092e-03,2.502427103583960033e+00,1.492373362230068068e+01,1.185343117121400169e+00,1.126899170810201234e+01,1.223663041295836029e+00,1.192003938776634087e+01,5.029667768266746997e+00,-7.812323912549673821e+01,2.892378059192919864e+02,2.476557399998675566e+06,1.226909190377944769e+00,1.223663041295836029e+00,2.502427103583960033e+00,1.223663041295836029e+00,1.033867330728470597e-03,1.164684777624342554e-03,1.164684777624342554e-03,0.000000000000000000e+00,7.608276744454698814e+00,1.628370732270793125e-02,1.492373362230068068e+01,1.192003938776634087e+01,1.185343117121400169e+00,5.029667768266746997e+00,1.126899170810201234e+01,1.007955365825589979e+03,1.217798583385075295e+00,2.000000000000000111e-01,nan,2.222038808508894348e-04
3.107648509751004262e-02,1.180699054355132489e-03,-2.187691943549471052e+00,8.270773609105123825e+00,-1.609585690449386819e+00,-1.704357207351040016e+00,-2.537308403351607247e-02,5.703807584668159347e-02,-8.749132325364727199e-05,5.039591319772820531e-05,1.600000000000000131e-04,1.600000000000000131e-04,2.313235441844464953e-04,4.164998830583554676e-04,4.164998824170851733e-04,1.680335364687788546e+00,5.951192964303308131e+00,3.617777239803031675e-01,1.894915675384169218e-01,2.990100499285052414e-03,2.033440315148689947e+00,1.428110107815751917e+01,1.114353512871410157e+00,1.104492531006970246e+01,9.431409309098761629e-01,1.158528889101457260e+01,5.249489069169587907e+00,-7.835508674714343158e+01,1.551280708471579999e+02,2.476186099999271333e+06,1.228474015666806363e+00,9.431409309098761629e-01,2.033440315148690392e+00,9.431409309098766069e-01,1.075299666199325353e-03,1.187792964854478663e-03,1.187792964854478663e-03,0.000000000000000000e+00,7.664888680407060839e+00,1.202445365184273175e-02,1.428110107815751917e+01,1.158528889101457260e+01,1.114353512871410157e+00,5.249489069169587907e+00,1.104492531006970246e+01,1.008093830475280015e+03,1.220741707279863641e+00,2.000000000000000111e-01,1.000000000000000082e-05,1.062991905054464262e-04
