# usr,tau,hsb,hlb,hbb,hsbb,hlwebb,tsr,qsr,zo,zot,zoq,Cd,Ch,Ce,L,zeta,dT_skinx,dq_skinx,dz_skin,Urf,Trf,Qrf,RHrf,UrfN,TrfN,QrfN,lw_net,sw_net,Le,rhoa,UN,U10,U10N,Cdn_10,Chn_10,Cen_10,hrain,Qs,Evap,T10,T10N,Q10,Q10N,RH10,P10,rhoa10,gust,wc_frac,Edis,Tm (UTC),Qnet,lowpass,Qnet_clean
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.200560656454076,,1.2409908063995898,,,,,,,,,,,,,,,995.670181338422,,0.2,,,2012-12-12 17:00:00,,,185.40617123579327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.83346637893162,,1.237172480709476,,,,,,,,,,,,,,,996.128943132387,,0.2,,,2012-12-12 18:00:00,,,185.40617123579327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.6960781579138,,1.2317465977285311,,,,,,,,,,,,,,,996.644220618184,,0.2,,,2012-12-12 19:00:00,,,185.40617123579327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.11839594483135,,1.2320289087821468,,,,,,,,,,,,,,,997.2160335035488,,0.2,,,2012-12-12 20:00:00,,,185.40617123579327
0.0455116998738972,0.0025331138031645,-1.505049977213016,4.90191431264476,-1.169093072466603,-1.224167974884048,-0.0312236883454636,0.0267914005975644,-3.5326706475727325e-05,3.3363950108371724e-05,0.00016,0.00016,0.0004748485185174,0.0008085277188493,0.0008085256788112,7.187470961637626,1.391309968885294,0.1188129585675228,0.0550741563362006,0.0033350314258365,2.07895499852628,9.108549289118384,5.271474691788163,72.5444271450051,1.4282330177184874,8.711973134084014,5.794393580375325,-36.49836667098362,225.30140224220867,2481592.6625,1.2285957603117172,1.4282330177184874,2.07895499852628,1.4282330177184874,0.0010061138488139,0.0011489458390471,0.0011489458390471,0.0,6.769669351040024,0.0071111152898652,9.108549289118384,8.711973134084014,5.271474691788163,5.794393580375325,72.5444271450051,996.989062020706,1.2263104619498324,0.2,1e-05,0.0003452850700308,2012-12-12 21:00:00,185.40617123579327,,185.40617123579327
0.0394545707632655,0.0019041750688632,-1.9046457870811,2.6404812800311475,-1.7276072688928508,-1.7566299767925635,-0.0741096443057157,0.0391227715292578,-2.195643733868536e-05,3.869371777276376e-05,0.00016,0.00016,0.0003126583657552,0.000572383107289,0.0005723830799555,3.1677299920211057,3.156834712929464,0.3609377395717346,0.1665348964127868,0.0031253928203373,2.22234087959665,9.867626429047908,5.383231585079152,70.41675505330277,1.2243005316965183,8.739035582730802,6.016618056169111,-89.11967804085276,261.34292182120373,2481761.525,1.2281851722169757,1.2243005316965183,2.22234087959665,1.2243005316965183,0.0010301852502696,0.0011626089367266,0.0011626089367266,0.0,6.6227761240886815,0.0038302361094554,9.867626429047908,8.739035582730802,5.383231585079152,6.016618056169111,70.41675505330277,997.3452569552207,1.2233753275241,0.2,,0.0002223668987183,2012-12-12 22:00:00,171.48740828740094,,171.48740828740094
0.0410907055639293,0.0020677224529347,-1.8446621427229617,2.342764022269112,-1.6883770358154864,-1.7139975451445808,-0.0745703821909849,0.0363417383921936,-1.8682225548336008e-05,3.704867538574168e-05,0.00016,0.00016,0.0003367045915538,0.0006122447523363,0.0006122460891932,3.662248370228189,2.730563028246201,0.3780684175421421,0.173101663639581,0.0030613912337243,2.23038595300626,9.455165533674776,5.5604587958106295,74.78484360322214,1.279552818677104,8.519296032131912,6.041561953919,-86.3425341842518,164.24760051440188,2482059.75,1.2295440839488054,1.279552818677104,2.23038595300626,1.279552818677104,0.0010230400729972,0.0011585700994593,0.0011585700994593,0.0,6.557327269090043,0.0033979643238519,9.455165533674776,8.519296032131912,5.5604587958106295,6.041561953919,74.78484360322214,997.552492617876,1.22528331754446,0.2,,0.0002523557035259,2012-12-12 23:00:00,77.40696445060394,,77.40696445060394
0.0512966044960489,0.0032279638159773,-0.6068588556534673,2.998642237190459,-0.4010551561941347,-0.4347934675809105,-0.0033859077475668,0.0095422812289352,-1.9084145952335737e-05,2.9313544143785866e-05,0.00016,0.00016,0.0007745792487803,0.001139730339103,0.0011397263985939,30.06553138160585,0.3326067939087887,0.2632629255130985,0.1199541778749642,0.0028478640505758,1.83224557335055,7.86570695384101,5.971196914735429,89.48209357284644,1.6241555268054284,7.827572166699923,6.047464824494251,-55.69331537688175,35.49288021671583,2482217.75,1.2340234970310686,1.6241555268054284,1.83224557335055,1.6241555268054284,0.0009857754349468,0.001137273681569,0.001137273681569,0.0,6.574326953594262,0.0043489786719499,7.86570695384101,7.827572166699923,5.971196914735429,6.047464824494251,89.48209357284644,998.384460913476,1.2329332307633805,0.2,1e-05,0.0005010163352368,2012-12-13 00:00:00,-22.59221854170291,,-22.59221854170291
0.0635864357270574,0.0047418378676062,6.529713115173236,8.777818567909438,7.156727659289749,7.053938389762452,0.4028862212756369,-0.0821177891088635,-4.467933898190548e-05,2.312475899679859e-05,0.00016,0.00016,0.0012886552115802,0.0018139798864899,0.0018139798878763,-3.2056707043919457,-3.1194719988860515,0.4099020409554629,0.1863852242703673,0.0023394328783138,1.66895610620147,5.698365795880119,5.56652732526118,96.9436329612765,1.9437213919444043,5.134612886011853,5.259795889413,-89.8210347054366,0.0,2482255.275,1.2447121726948915,1.9437213919444043,1.6689561062014695,1.943721391944404,0.0009500764134506,0.0011164910895252,0.0011164910895252,0.0,6.493272012973449,0.0127304178432953,5.698365795880119,5.134612886011853,5.56652732526118,5.259795889413,96.9436329612765,999.4896247109002,1.2441972453750567,0.5934196521268601,1e-05,0.0009292991071809,2012-12-13 01:00:00,-105.12856638851927,,-105.12856638851927
0.0919599968155113,0.010167875210225,11.84129395988478,15.560887076905887,12.950479237516031,12.768645585445334,0.6998791170291601,-0.1027634753682351,-5.465778152102066e-05,1.644268620180423e-05,0.00016,0.00016,0.0011429986591023,0.0016367457490675,0.0016367457492128,-5.360284538413112,-1.8655726068900915,0.3524868897754754,0.1602545562122686,0.0017583512163783,2.62222770700308,5.226510937728081,5.329766705287016,95.95460859681464,2.9517480756400487,4.624556294436872,5.009599396224355,-92.87648223959135,0.0,2482249.35,1.2472054431637618,2.9517480756400487,2.62222770700308,2.951748075640048,0.0009020444677713,0.0010879024801748,0.0010879024801748,0.0,6.518553419441246,0.0225679154581554,5.226510937728081,4.624556294436872,5.329766705287016,5.009599396224355,95.95460859681464,999.7875719086,1.2468571034704683,0.7228876747291395,0.0006801572483966,0.0029575955679006,2012-12-13 02:00:00,-120.27866327638202,,-120.27866327638202
