DN,C,S,T
735216.6909722222,25.688402933228684,23.130035493791866,9.23
735216.6944444445,26.010706988706318,23.33800358967373,9.4
735216.6979166666,26.211479718268837,23.720774122648017,9.12
735216.7013888889,32.178260262165026,28.289238676870752,10.93
735216.7048611111,32.363309911920496,28.438302204118816,10.97
735216.7083333334,32.29099347024181,28.39890054616236,10.93
735216.7118055555,32.39809024093721,28.479867704624663,10.96
735216.7152777778,32.250152937626346,28.444288686840757,10.82
735216.71875,32.23771465032173,28.424400174728202,10.83
735216.7222222222,32.43915411487643,28.535340426899197,10.94
735216.7256944445,32.56636599404721,28.612455425839883,11.0
735216.7291666666,32.44546778142334,28.549256636068037,10.93
735216.7326388889,32.52808226419812,28.60634373497994,10.96
735216.7361111111,32.55679858564315,28.595376266108854,11.01
735216.7395833334,32.49947084524216,28.555185493913807,10.99
735216.7430555555,32.48673389045677,28.558334314930388,10.97
735216.7465277778,32.44862422995766,28.54455867100749,10.94
735216.75,32.42652370206302,28.507525797319683,10.96
735216.7534722222,32.40441058821301,28.50152431090664,10.94
735216.7569444445,32.363309911920496,28.469276064527637,10.93
735216.7604166666,32.40441058821301,28.509283825039667,10.93
735216.7638888889,32.35381895102536,28.436810706425405,10.96
735216.7673611111,32.37596091338681,28.473837975143685,10.94
735216.7708333334,32.37596091338681,28.473837975143685,10.94
735216.7743055555,32.33179096700787,28.43086017567511,10.94
735216.7777777778,32.33179096700787,28.446343694190166,10.92
735216.78125,32.35381895102536,28.460038529876318,10.93
735216.7847222222,32.33495667765978,28.43394015990756,10.94
735216.7881944445,32.31608521746449,28.431055492427028,10.92
735216.7916666666,32.344452258087124,28.42770202496606,10.96
735216.7951388889,32.344452258087124,28.450922331415242,10.93
735216.7986111111,32.33812212968458,28.437019936348534,10.94
735216.8020833334,32.35381895102536,28.45229255773548,10.94
735216.8055555555,32.33495667765978,28.43394015990756,10.94
735216.8090277778,32.34128732314078,28.440099505043438,10.94
735216.8125,32.344452258087124,28.44317886603792,10.94
735216.8159722222,32.20952332204743,28.373689917904642,10.86
735216.8194444445,32.168978147349065,28.3496314560418,10.84
735216.8229166666,32.14722638333395,28.312988768874554,10.86
735216.8263888889,32.159566605322105,28.32501153200426,10.86
735216.8298611111,32.15651372122651,28.31432047905694,10.87
735216.8333333334,32.11922364380394,28.28570889558264,10.86
735216.8368055555,32.13780954386679,28.30381463255083,10.86
735216.8402777778,32.05716351283042,28.217573056794805,10.87
735216.84375,31.915466930449163,28.10262982413091,10.84
735216.8472222222,31.860386074853913,28.01081415111532,10.89
735216.8506944445,31.441017041251946,27.65619633484266,10.82
735216.8541666666,32.153333377255535,28.27269411167113,10.92
735216.8576388889,32.091200604163475,28.227636235975638,10.9
735216.8611111111,32.13157280649453,28.25152935744079,10.92
735216.8645833334,32.159566605322105,28.27105969506394,10.93
735216.8680555555,32.06341226599079,28.18524852196366,10.92
735216.8715277778,32.159566605322105,28.263365681451173,10.94
735216.875,32.04172859021894,28.164167100412598,10.92
735216.8784722222,31.248656045125973,27.521762498992388,10.75
735216.8819444445,30.66563389973156,27.014046462273196,10.67
735216.8854166666,31.414316405236534,27.652852458736724,10.79
735216.8888888889,30.36283650091188,26.778196358392467,10.59
735216.8923611111,30.090509800627654,26.51323245038061,10.59
735216.8958333334,28.346640865565682,24.94025763911106,10.42
735216.8993055555,28.310526230467154,24.912095740072438,10.41
735216.9027777778,27.615391456432608,24.2928208184039,10.33
735216.90625,28.856151890141103,25.392770077915184,10.48
735216.9097222222,26.46101090155786,23.248609321431985,10.22
735216.9131944445,24.613410383996293,21.57346915078565,10.05
735216.9166666666,25.16256642059327,22.059489952753694,10.12
735216.9201388889,23.287325530656016,20.39855659574818,9.88
735216.9236111111,26.03260520528792,22.879406839327636,10.15
735216.9270833334,25.471140816179137,22.344271754686847,10.14
735216.9305555555,26.118642119712987,22.96880565101018,10.14
735216.9340277778,25.237149132849957,22.173974354151873,10.05
735216.9375,25.813052159754925,22.717563489218488,10.07
735216.9409722222,24.600924960141157,21.621026688442154,9.95
735216.9444444445,25.005591220146425,22.017538669318117,9.94
735216.9479166666,23.818528295096684,20.931937229917118,9.84
735216.9513888889,23.761418030721302,20.89428311802277,9.81
735216.9548611111,23.349039437907685,20.531468269705744,9.75
735216.9583333334,23.25327312526386,20.450593538918707,9.73
735216.9618055555,23.073033811722723,20.2883334178639,9.71
735216.9652777778,21.670288471343607,18.995527889622135,9.61
735216.96875,21.846662441089084,19.16992773534277,9.6
735216.9722222222,20.74811693956147,18.164513083543596,9.51
735216.9756944445,22.289316042765062,19.60598380465228,9.58
735216.9791666666,20.80438567355062,18.233517373783197,9.48
735216.9826388889,21.14261546479764,18.54722577668026,9.5
735216.9861111111,19.428047190691363,16.96372009927245,9.39
735216.9895833334,19.197660392702797,16.767862469928893,9.34
735216.9930555555,18.851532790899793,16.45238998549466,9.31
735216.9965277778,16.84388301827404,14.60342552188693,9.19
735217.0,17.959298341435506,15.671611240744516,9.16
735217.0034722222,15.993873062180143,13.850789659644228,9.07
735217.0069444445,15.616262405461965,13.511173404283815,9.03
735217.0104166666,15.589682212713631,13.486208279874424,9.03
735217.0138888889,15.395970862448493,13.319323585542257,8.99
735217.0173611111,15.389362034288862,13.313118098814774,8.99
735217.0208333334,13.6210032020346,11.695598625259402,8.89
