DN,C,R,P,S,T
735537.6458333334,,,,,
735537.6493055556,,,,,
735537.6527777779,,,,,
735537.65625,,,,,
735537.6597222222,,,,,
735537.6631944445,,,,,
735537.6666666667,,,,,
735537.6701388889,,,,,
735537.6736111111,,,,,
735537.6770833334,,,,,
735537.6805555556,,,,,
735537.6840277779,,,,,
735537.6875,,,,,
735537.6909722222,,,,,
735537.6944444445,,,,,
735537.6979166667,,,,,
735537.7013888889,,,,,
735537.7048611111,,,,,
735537.7083333334,,,,,
735537.7118055556,,,,,
735537.7152777779,,,,,
735537.71875,,,,,
735537.7222222222,,,,,
735537.7256944445,,,,,
735537.7291666667,,,,,
735537.7326388889,,,,,
735537.7361111111,,,,,
735537.7395833334,,,,,
735537.7430555556,,,,,
735537.7465277779,,,,,
735537.75,,,,,
735537.7534722222,,,,,
735537.7569444445,,,,,
735537.7604166667,,,,,
735537.7638888889,27.254514407809168,1019.264848066054,3.704653014759154,24.91520622917025,8.899309751454094
735537.7673611111,27.31024231057153,1019.3140343025323,3.6856509453812567,24.976892204598308,8.891227279461162
735537.7708333334,27.309243931749922,1019.3139009911974,3.664656340343866,24.976601651995765,8.89020330399153
735537.7743055556,27.301056593380725,1019.30283595451,3.6456485002773733,24.963642108885434,8.896878297728279
735537.7777777779,27.216399500774017,1019.2346171242986,3.624653617490578,24.876876166870904,8.899192699036748
735537.78125,27.106374063314096,1019.1454033129388,3.6046548877510323,24.763485509726234,8.903385734441848
735537.7847222222,27.091049990898338,1019.1331399927187,3.586646945599747,24.74785099071631,8.903699000182034
735537.7881944445,26.76255682082489,1018.87793656874,3.568645777761264,24.420373487621323,8.900211437463241
735537.7916666667,26.839270035277693,1018.9239494574327,3.5456606262886927,24.48309500586587,8.920933376906406
735537.7951388889,26.99566842392472,1019.0493058353227,3.5266465833439447,24.642997251741193,8.916613808316722
735537.7986111111,26.959035177145516,1019.021295773118,3.511637363425975,24.607122656800303,8.91540403255234
735537.8020833334,26.944796680068077,1018.9904018654028,3.4936462955913257,24.57261373321671,8.944703079519675
735537.8055555556,27.09400607498776,1019.0977516153579,3.472654823659826,24.712745290174823,8.95845572477182
735537.8090277779,27.185779970233934,1019.1762517107048,3.450656629538266,24.811786788121164,8.948531669552965
735537.8125,27.360287536214315,1019.3207095846359,3.4266682970105933,24.99497808417897,8.937238297813503
735537.8159722222,27.459321555180185,1019.4012329743948,3.399676740971825,25.097559816694677,8.933013966470012
735537.8194444445,27.514689956841803,1019.4426653425854,3.375665207803826,25.151325238803338,8.935790870683757
735537.8229166667,27.662596403663276,1019.5393903408568,3.3526604566279783,25.280287121142344,8.963710521609796
735537.8263888889,27.78209617724757,1019.6352000651618,3.327665227617306,25.4027167847161,8.960809392531468
735537.8298611111,27.91008067090173,1019.7357626795745,3.303667430579521,25.531567787247997,8.9608
735537.8333333334,28.0163208179967,1019.8277973931396,3.278669186646858,25.64741911006045,8.948440786142058
735537.8368055556,28.177021292088053,1019.939340157873,3.2526707907090366,25.794226336841763,8.969531642893433
735537.8402777779,28.16716289086678,1019.9204609792247,3.227665945154739,25.773068562133442,8.985150711093008
735537.84375,28.17366781531004,1019.9249844436624,3.2036681200215744,25.779079370943794,8.985897632731255
735537.8472222222,28.118523647980766,1019.8827406806573,3.1786699050225353,25.724880495937732,8.984006304086062
735537.8506944445,28.174107989422897,1019.9240646713135,3.153668283857354,25.778424658264417,8.987388939482356
735537.8541666667,28.19786459796277,1019.9391521762977,3.1306602861985375,25.798835278589607,8.992284377590595
735537.8576388889,28.206822169907564,1019.944483445624,3.107658796266532,25.80627688634298,8.994493128372238
735537.8611111111,28.23331117136466,1019.9576558366107,3.0836672535932297,25.82503710062733,9.005363531746697
735537.8645833334,28.243127969354312,1019.949327567359,3.0616591567476763,25.818621331884938,9.027925830676992
735537.8680555556,28.227012115647316,1019.9410267012267,3.038660947872865,25.80703731737709,9.021620588897704
735537.8715277779,28.23019975545151,1019.9463829782887,3.014662608572146,25.813280141336772,9.017413239108823
735537.875,28.20794538494636,1019.9218830111763,2.991664568597219,25.783799883366704,9.02716693050697
735537.8784722222,28.15448731377992,1019.8756532790891,2.9696597889182725,25.725692674794466,9.033080467675473
735537.8819444445,28.13428520645195,1019.8636386240307,2.946661608009785,25.70945225604163,9.027418500586167
735537.8854166667,28.110774814068616,1019.8398757047122,2.9236601165378175,25.680492245237662,9.034876143473019
735537.8888888889,28.08793117150958,1019.8070025193812,2.9006586266058174,25.64231903466138,9.056033938879024
735537.8923611111,28.04886062781498,1019.76384421471,2.8796570608947154,25.590273925611047,9.073740912028493
735537.8958333334,28.086525832788166,1019.7925053683433,2.8576589944610937,25.627377535503097,9.074796725548211
735537.8993055556,28.076951229459482,1019.7851240720397,2.8356575678381493,25.617930812210798,9.074500962881588
735537.9027777779,28.10424380124831,1019.8057349028034,2.814652997156017,25.644615719571494,9.075596540728679
735537.90625,28.047063469556914,1019.7611508429542,2.7926610311867606,25.587592930832077,9.075002020218136
735537.9097222222,28.085143157626305,1019.7934923161098,2.771656323444854,25.62846390870322,9.071411891472534
735537.9131944445,28.075621346810763,1019.7851275256087,2.7506549609665822,25.61813400222242,9.072496437862412
735537.9166666667,27.951804084435846,1019.6942891052673,2.7306504263938356,25.50017542429345,9.063528561442444
735537.9201388889,27.620412175230822,1019.4247396546392,2.71164602145378,25.15746752092963,9.077755545866937
735537.9236111111,27.29786452436493,1019.1680550494575,2.692650244171492,24.829791545411783,9.084378015869033
735537.9270833334,26.82226537326767,1018.8003025980923,2.674645763274424,24.35764400396215,9.079715355096535
735537.9305555556,26.537101098090076,1018.5728269058992,2.655647798865727,24.067527045188662,9.087873741725227
735537.9340277779,26.546986021789532,1018.5700065885727,2.637643430001741,24.06679937251689,9.103550742575775
735537.9375,26.38929169912678,1018.4499048385238,2.6156608689493215,23.912320746648877,9.099812766692038
735537.9409722222,26.335266886136772,1018.4029539143392,2.5956528727269825,23.853492804900338,9.107275281423034
735537.9444444445,26.229023803297903,1018.324553628032,2.575651575128619,23.75202826252295,9.100920677954202
735537.9479166667,25.926529681739634,1018.0972212414645,2.55565027886278,23.458630838413292,9.089635777122687
735537.9513888889,25.776653272803575,1017.9803613019254,2.5366458812992727,23.30906240443843,9.09069658856551
735537.9548611111,25.870824428499702,1018.0567440863031,2.5196434569483332,23.40617462401391,9.08531794719433
735537.9583333334,25.76593405766848,1017.9651005411372,2.5026423708312056,23.291575839404793,9.101247845355797
735537.9618055556,25.43072327860714,1017.7040357733036,2.48663807415499,22.957369955960974,9.103891693384597
735537.9652777779,25.300964052420067,1017.60490861855,2.4716339066054096,22.829896884707292,9.10210563401004
735537.96875,25.246202833419797,1017.5604485060596,2.4556405930218634,22.77358806297856,9.105488602243723
735537.9722222222,25.133521161740717,1017.4634196325082,2.4406362825260874,22.652000527155305,9.121347714435391
735537.9756944445,25.117151738036604,1017.4443606028092,2.425635309826978,22.629272207602494,9.131567119752438
735537.9791666667,24.97510992623581,1017.3395319801136,2.4106343371278696,22.493629584162246,9.124024006173773
735537.9826388889,24.774242003169302,1017.1788975035298,2.3956333654330977,22.289332708158188,9.133470607689473
735537.9861111111,24.82829807619381,1017.2134832716373,2.3816333825750875,22.33564380949195,9.144762527542655
735537.9895833334,24.827503187242826,1017.2067224407913,2.368629236273548,22.328723091249067,9.154568127571714
735537.9930555556,24.774529380673325,1017.1510778592693,2.355628393269071,22.26161451485349,9.17852350138954
735537.9965277779,24.465138608264777,1016.9010825308075,2.342627550697703,21.944392995996644,9.198936298370027
735538.0,24.42236031744001,1016.8773769320887,2.3296304398762113,21.91150703594947,9.183950507588657
735538.0034722222,24.343857954077535,1016.8229788157878,2.3156328908525143,21.840134593189315,9.174331497826818
735538.0069444445,24.009218898779878,1016.5642342763474,2.303625550647294,21.508868092424724,9.178287135291482
735538.0104166667,23.804503753799093,1016.4034057885489,2.2916247724880066,21.303745077357913,9.185377625553292
735538.0138888889,23.66797072774924,1016.2939373600102,2.2816178220304506,21.16472841326091,9.19407314700742
735538.0173611111,23.60541626886136,1016.2308084526511,2.2696266617886036,21.088252459321815,9.219914302799019
735538.0208333334,23.46413925240213,1016.1239472055892,2.26061616073017,20.950846499897782,9.218504867368072
735538.0243055556,22.953128765973087,1015.7349399075578,2.249621937242783,20.451591304800914,9.21869936398689
735538.0277777779,23.054498132125392,1015.806173521153,2.241611878540679,20.544803739499855,9.228668847476325
735538.03125,22.91091190147944,1015.688793824881,2.231620331511658,20.39659728734979,9.243051940014517
735538.0347222222,22.634755425307723,1015.4729077624975,2.223613145698331,20.121402217133593,9.254263335152773
735538.0381944445,22.38676538920221,1015.2745362985268,2.2166094178918194,19.869807004939307,9.273239033424069
735538.0416666667,22.209008114689908,1015.1308511573794,2.2116026762910583,19.688070627626285,9.289847810365861
735538.0451388889,22.28407641637195,1015.1791494300104,2.206602352226198,19.75259893209977,9.304853812886623
735538.0486111111,21.4064876399954,1014.5019436298762,2.204593559317137,18.887864952923156,9.334900627929263
735538.0520833334,20.472843049936447,1013.7753526927571,2.206580481517592,17.963094365668073,9.388526146138636
735538.0555555556,20.05785120886444,1013.4295929913226,2.2095774384550695,17.530567111642682,9.4611693455177
735538.0590277779,19.698007735515233,1013.1497689527321,2.215568309467405,17.175103905616602,9.487717952960928
735538.0625,18.626237319589208,1012.3369130523904,2.221566975775032,16.137762330391908,9.535042152101013
735538.0659722222,19.122153190601615,1012.6859473449271,2.2265706253362345,16.591601450418096,9.56739450054164
735538.0694444445,18.313312986582588,1012.0523386454663,2.2345613453977897,15.790577439486448,9.653723079722297
735538.0729166667,18.018349885591004,1011.8118502612976,2.2435587276267617,15.489937826622034,9.709226235468694
735538.0763888889,21.79614690771151,1014.6016018247277,2.2605347365297317,19.074751478396976,9.690159285049749
735538.0798611111,23.72303030370479,1016.0732647032418,2.277530958126147,20.95761382429867,9.638669971600741
735538.0833333334,24.23348633171662,1016.4629528485365,2.2905449648899694,21.457001733892326,9.63072519497906
735538.0868055556,24.27545193146284,1016.4929088390047,2.303545807461356,21.495881617318588,9.633690504062988
