DN,C,S,T,P
735615.7291666666,,,,
735615.7326388889,,,,
735615.7361111111,,,,
735615.7395833333,,,,
735615.7430555555,,,,
735615.7465277778,,,,
735615.75,,,,
735615.7534722221,,,,
735615.7569444444,29.245463972678913,27.223664208342736,8.509999998994171,
735615.7604166666,29.238143911229688,27.239268881927348,8.48,
735615.7638888889,29.25278386817521,27.231179359662047,8.51,
735615.7673611111,29.255258160900176,27.218313820544488,8.53,
735615.7708333333,29.2870099039121,27.250897366169113,8.53,
735615.7743055555,29.28453585418141,27.240652004295715,8.54,
735615.7777777778,29.294328863016524,27.25069957088562,8.54,
735615.78125,29.32370615636366,27.250006771486543,8.58,
735615.7847222221,29.316387844126833,27.23480732515866,8.589999999664723,
735615.7881944444,29.368024967513453,27.26460500556843,8.619999998994171,
735615.7916666666,29.353183957198567,27.24940773108659,8.62,
735615.7951388889,29.37297183241375,27.246578023943947,8.65,
735615.7986111111,29.380288939232933,27.269460993293773,8.63,
735615.8020833333,29.353183958107333,27.249407731758925,8.620000000335276,
735615.8055555555,29.38276229295776,27.248902206833176,8.66,
735615.8090277778,29.407494879508985,27.251122224777568,8.69,
735615.8125,29.412441190992933,27.23312341590733,8.72,
735615.8159722221,29.424806672149476,27.238071555819086,8.729999999664724,
735615.8194444444,29.397602052362416,27.21029419177938,8.73,
735615.8229166666,29.42480667256406,27.215047044139123,8.76,
735615.8263888889,29.42975274697222,27.23544244173843,8.74,
735615.8298611111,29.42480667256406,27.238071555984984,8.73,
735615.8333333333,29.434698753855507,27.217468830128205,8.769999998658896,
735615.8368055555,29.471997752106425,27.224825179420268,8.81,
735615.8402777778,29.462003636966596,27.21464111440286,8.81,
735615.84375,29.459530824914985,27.212121377813286,8.81,
735615.8472222221,29.447166517872223,27.20718363065866,8.800000000335277,
735615.8506944444,29.471997751273893,27.224825178828787,8.809999999664724,
735615.8541666666,29.499402934695375,27.22208456772481,8.85,
735615.8576388889,29.49693036775803,27.21956749249591,8.85,
735615.8611111111,29.469525006203966,27.1993243015694,8.84,
735615.8645833333,29.419860532387307,27.194671139112227,8.780000002011656,
735615.8680555555,29.419860530722175,27.17935516891963,8.8,
735615.8715277778,29.348339877757965,27.121757661991204,8.78,
735615.875,29.08335066490559,26.92763374969957,8.68,
735615.8784722221,27.972724539065958,25.869707420145254,8.580000003352762,
735615.8819444444,28.176989543314246,26.055741223613953,8.609999998994171,
735615.8854166666,28.330988387628988,26.1978514610128,8.63,
735615.8888888889,28.268246863218646,26.141326326763984,8.62,
735615.8923611111,27.944497430750836,25.819073211302307,8.61,
735615.8958333333,26.774215090573833,24.687546047388754,8.530000002682208,
735615.8993055555,26.82364101862528,24.730673704029392,8.54,
735615.9027777778,26.271926398627286,24.213108928375945,8.48,
735615.90625,26.304413083737973,24.22544983316799,8.51,
735615.9097222221,25.83578487920775,23.758395407173673,8.500000000335277,
735615.9131944444,25.426458856012914,23.36518211688106,8.470000001005829,
735615.9166666666,25.198846672100107,23.155330177421096,8.44,
735615.9201388889,24.57527429698995,22.565703901352926,8.38,
735615.9236111111,24.710855454660578,22.695866471981994,8.39,
735615.9270833333,24.501485940582057,22.491404318378823,8.380000000335276,
735615.9305555555,24.20607615002406,22.21310483393871,8.35,
735615.9340277778,23.827891903716672,21.84537587502166,8.33,
735615.9375,23.86765795419664,21.885332362896246,8.33,
735615.9409722221,23.646859077105347,21.663580080124,8.33,
735615.9444444444,23.4165306420845,21.438605965230575,8.320000000335275,
735615.9479166666,23.368485776449553,21.390431420079413,8.32,
735615.9513888889,23.21447931972376,21.242113990633552,8.31,
735615.9548611111,23.043903399270082,21.06529020387738,8.32,
735615.9583333333,22.811189774665092,20.832517223444068,8.32,
735615.9618055555,22.856877766690815,20.87819431695416,8.32,
735615.9652777778,22.406619129004874,20.44591461172587,8.29,
735615.96875,22.581349579073812,20.60874268703051,8.31,
735615.9722222221,22.441803653334187,20.481044192559153,8.29000000067055,
735615.9756944444,22.441803648655544,20.48104418827773,8.29,
735615.9791666666,22.61503605639609,20.630685622335754,8.33,
735615.9826388889,22.53593364344585,20.557560580609884,8.32,
735615.9861111111,22.52409762156459,20.539922048297257,8.33,
735615.9895833333,22.497191928972885,20.513076508568645,8.33,
735615.9930555555,22.242691520317198,20.265080347889462,8.32,
735615.9965277778,22.104711118964495,20.133325425921935,8.31,
735616.0,22.001981236091705,20.019661871337437,8.33,
735616.0034722221,22.317904012581323,20.334287737584727,8.33,
735616.0069444444,22.282814826729453,20.28781190672516,8.349999999329446,
735616.0104166666,22.149504278074232,20.149373254371742,8.36,
735616.0138888889,22.20436252009403,20.192520254375516,8.38,
735616.0173611111,22.264370522465207,20.24648568739283,8.39,
735616.0208333333,21.485699345678356,19.506652815776473,8.330000002011657,
735616.0243055555,22.58469500645965,20.559580530204837,8.4,
735616.0277777778,22.272754404157016,20.249090680107646,8.4,
735616.03125,22.69941934260648,20.66219765253808,8.42,
735616.0347222221,23.050651699415035,21.02432879958842,8.400000000670554,
735616.0381944444,23.091589464869624,21.065215019304514,8.4,
735616.0416666666,22.75700107898104,20.737178226037024,8.39,
735616.0451388889,22.711345700437622,20.691648414935646,8.39,
735616.0486111111,22.505682990190465,20.504106334899706,8.36,
735616.0520833333,22.384833734107975,20.401011107730564,8.330000001005828,
735616.0555555555,22.291078526627636,20.319071070271878,8.31,
735616.0590277778,22.246045232649628,20.28567528573501,8.29,
735616.0625,22.179448436055544,20.20779109902458,8.31,
735616.0659722221,22.005332767667095,20.03435461929759,8.31,
735616.0694444444,21.848874622963322,19.878645516886365,8.31,
735616.0729166666,21.80120242276045,19.81998523161743,8.33,
735616.0763888889,20.752563909658686,18.86613794057649,8.17,
735616.0798611111,20.276552281414954,18.42036707444653,8.12,
735616.0833333333,19.72707714140606,17.927358810040733,8.020000003352761,
735616.0868055555,20.139494891835692,18.29492996807338,8.1,
735616.0902777778,20.30955659713917,18.463598335390277,8.1,
735616.09375,20.4012912382193,18.554648569625773,8.1,
735616.0972222221,20.25262571378936,18.417596507104683,8.080000000670553,
735616.1006944444,20.158789598094792,18.34014525190238,8.050000001005829,
735616.1041666666,20.014001827906966,18.212009064833392,8.02,
735616.1076388889,19.725651244456454,17.946395268773554,7.98,
735616.1111111111,18.862604434121124,17.136007532140948,7.89,
735616.1145833333,18.970032299038458,17.252242385966735,7.870000000670553,
735616.1180555555,18.569543771984602,16.870221302765284,7.84,
735616.1215277778,17.947416465181877,16.292910514863955,7.76,
735616.125,17.789077665510632,16.145752786720806,7.74,
