DN,C,R,P,S,T
735537.6458333334,,,,,
735537.6493055556,,,,,
735537.6527777779,,,,,
735537.65625,,,,,
735537.6597222222,,,,,
735537.6631944445,,,,,
735537.6666666667,,,,,
735537.6701388889,,,,,
735537.6736111111,,,,,
735537.6770833334,,,,,
735537.6805555556,,,,,
735537.6840277779,,,,,
735537.6875,,,,,
735537.6909722222,,,,,
735537.6944444445,,,,,
735537.6979166667,,,,,
735537.7013888889,,,,,
735537.7048611111,,,,,
735537.7083333334,,,,,
735537.7118055556,,,,,
735537.7152777779,,,,,
735537.71875,,,,,
735537.7222222222,,,,,
735537.7256944445,,,,,
735537.7291666667,,,,,
735537.7326388889,,,,,
735537.7361111111,,,,,
735537.7395833334,,,,,
735537.7430555556,,,,,
735537.7465277779,,,,,
735537.75,,,,,
735537.7534722222,,,,,
735537.7569444445,,,,,
735537.7604166667,,,,,
735537.7638888889,,,,,
735537.7673611111,,,,,
735537.7708333334,,,,,
735537.7743055556,,,,,
735537.7777777779,,,,,
735537.78125,,,,,
735537.7847222222,,,,,
735537.7881944445,,,,,
735537.7916666667,,,,,
735537.7951388889,,,,,
735537.7986111111,,,,,
735537.8020833334,,,,,
735537.8055555556,,,,,
735537.8090277779,,,,,
735537.8125,,,,,
735537.8159722222,,,,,
735537.8194444445,,,,,
735537.8229166667,,,,,
735537.8263888889,,,,,
735537.8298611111,,,,,
735537.8333333334,,,,,
735537.8368055556,,,,,
735537.8402777779,,,,,
735537.84375,34.676999818591696,1024.8529566580926,3.186105862845691,32.147748406750566,9.301026233602482
735537.8472222222,34.40563806295154,1024.6210925277385,3.1609583440102247,31.85460209364338,9.316846413929833
735537.8506944445,34.09469202672005,1024.3746257557593,3.1259902631410723,31.538658575334452,9.31311272970339
735537.8541666667,33.820999081818485,1024.1329940711657,3.098961757269832,31.234898176378255,9.339512901962385
735537.8576388889,33.54796010230524,1023.8962630218139,3.0659793940726825,30.936362239169714,9.36152908120022
735537.8611111111,33.85301168088035,1024.1248067519157,3.038966095830769,31.23277129409654,9.379537946694832
735537.8645833334,33.89646599379525,1024.1512130004828,3.022927178996568,31.26848219520627,9.389466486567303
735537.8680555556,33.523583334332855,1023.8407351430201,2.9879892867513926,30.874314193128164,9.404549837421044
735537.8715277779,33.61600376852823,1023.8915305412735,2.944016404026231,30.945064387193693,9.432010382404242
735537.875,33.534246800539925,1023.8095869746751,2.9209531180274584,30.844253146020023,9.452030345952657
735537.8784722222,33.459635101041336,1023.729772956062,2.905924323403455,30.74713213074704,9.476615855650078
735537.8819444445,33.71405210951802,1023.9300245115447,2.860027451603344,31.004332474071376,9.479091942483636
735537.8854166667,33.62006346607464,1023.8249495034734,2.836948780056671,30.87722296179049,9.51538009494413
735537.8888888889,33.42476204007218,1023.6437860958445,2.8089634827067815,30.651629873490986,9.54679854790785
735537.8923611111,33.12314344728181,1023.359682884984,2.7809697497202857,30.298920228387704,9.601809641607694
735537.8958333334,32.80299627825224,1023.0575252452851,2.75695443839731,29.924071887681574,9.662593729605124
735537.8993055556,32.68859851968482,1022.9251388151506,2.7309595803184843,29.765027044296836,9.715125206408187
735537.9027777779,32.288320444790315,1022.6029543395687,2.6880134638328963,29.354045034183226,9.724669297422725
735537.90625,32.02452928625566,1022.3690156309717,2.662960267795535,29.06102154550885,9.759079592346923
735537.9097222222,31.567468989594648,1021.9945851242031,2.6578901554329413,28.58523305726965,9.781024928727529
735537.9131944445,31.185444431087614,1021.6731807336547,2.6518932039238505,28.179065721638977,9.811796368005714
735537.9166666667,30.778683104628488,1021.3316277826584,2.6419060305878403,27.74742524523897,9.84538907055819
735537.9201388889,30.527332239156973,1021.1039360735205,2.6358924458823525,27.463816772607206,9.889257837098352
735537.9236111111,30.048680103167424,1020.7143509327548,2.6328834023370455,26.96891619007318,9.915907906685604
735537.9270833334,29.740744882382064,1020.4526880752252,2.6099512154525666,26.6395179139894,9.949286440610567
735537.9305555556,29.56435703940451,1020.2951245415471,2.5630298444526325,26.443353007511295,9.979399562973478
735537.9340277779,29.445548282664546,1020.1825679535577,2.5130366962813064,26.30475306737015,10.008803755919926
735537.9375,29.41621160096078,1020.1392507401519,2.513869518421698,26.254873473585356,10.037798573911788
735537.9409722222,29.256400539339122,1020.0020723521724,2.4760035568369916,26.082792587270678,10.058329576585223
735537.9444444445,29.183415080716127,1019.9132987637788,2.4629168525448604,25.97785305381093,10.104643536802033
735537.9479166667,29.03570954900937,1019.7850248603771,2.439949120146186,25.817331737247756,10.126627535496416
735537.9513888889,28.996217004692518,1019.7238976638328,2.412960650084568,25.7476252523808,10.17045751326344
735537.9548611111,28.966363497049294,1019.6850346190248,2.3829771027479354,25.702257171181127,10.193221240931312
735537.9583333334,28.887240169445516,1019.6225133006343,2.3818764232313905,25.622571907198285,10.1964890964532
735537.9618055556,28.823463091675176,1019.5577167033985,2.345993406649953,25.543962853196316,10.219522749251466
735537.9652777779,28.70856751011299,1019.4665992258152,2.325938635569346,25.42808059423872,10.22498228268199
735537.96875,28.623288613998497,1019.3834912537943,2.3109255887600746,25.326456093688343,10.251307471718777
735537.9722222222,28.511674545700807,1019.2830459878508,2.310873015873016,25.201729644614687,10.274320818700819
735537.9756944445,28.436842443288146,1019.2154281114049,2.306886533585902,25.11788285814214,10.290345929148456
735537.9791666667,28.393792400117785,1019.1716449204739,2.298899545936879,25.06487543004729,10.306446608246475
735537.9826388889,28.38588534155614,1019.1519637605263,2.2998697627849363,25.043469290776102,10.326434938238402
735537.9861111111,28.39532696909931,1019.1456219047025,2.2669877547911783,25.03921460313504,10.34583254742387
735537.9895833334,28.378308426114405,1019.122080587744,2.262886674812678,25.0120928807897,10.361347071608812
735537.9930555556,28.36371886581462,1019.1017680367653,2.259883070567383,24.98857876177254,10.37495441871887
735537.9965277779,28.387670816258513,1019.1021983558193,2.250902611125233,24.994280927504125,10.400515817949252
735538.0,28.61423173955786,1019.2521714088501,2.250873015873016,25.19319895818263,10.430793579323314
735538.0034722222,28.63878775100533,1019.2546930999166,2.2518695658312935,25.2010751596996,10.453920304036206
735538.0069444445,28.724558799653387,1019.3151944189225,2.252869629034837,25.280131423732417,10.459780356338563
735538.0104166667,28.5462854623812,1019.1770613204873,2.256859721334476,25.103489945147707,10.465381387646044
735538.0138888889,28.471901374669994,1019.1258659593503,2.2588664948769335,25.03621812731896,10.458422823486288
735538.0173611111,28.07171839355634,1018.8319271750148,2.2658486256928834,24.65582926481722,10.448335191545619
735538.0208333334,27.678425724249212,1018.5452807867201,2.283811417265331,24.28437098460523,10.435543803454353
735538.0243055556,28.16386939223137,1018.9302990819795,2.2858662979901316,24.7739457213397,10.405700432349121
735538.0277777779,27.92224439074885,1018.7860811777332,2.301820284066642,24.577355522267982,10.350183243027148
735538.03125,26.61626991212779,1017.8710302961955,2.301873015873016,23.380524937407962,10.249455128444238
735538.0347222222,27.374274176099558,1018.3650747482864,2.3098453565269064,24.038203582789283,10.36370239689968
735538.0381944445,27.48432420547965,1018.4579894293531,2.3158526505846977,24.154711022993116,10.348353628592573
735538.0416666667,27.32008014980581,1018.3433840655886,2.3517530994706837,24.00460298268756,10.335243636246405
735538.0451388889,27.283039636888443,1018.3282483645439,2.3688174620051234,23.981274834327927,10.3163617628296
735538.0486111111,27.131400910835687,1018.2241645320042,2.386810165527456,23.84437940846919,10.301551676950796
735538.0520833334,26.871632121404915,1018.0654449509524,2.4048112844875993,23.629438033007872,10.24609068139051
735538.0555555556,26.730184751825167,1017.9739073448319,2.439755194743605,23.507110690793944,10.223774732259225
735538.0590277779,26.501605958418843,1017.831670368255,2.4588102560637086,23.315334204388787,10.178350293227552
735538.0625,26.30027991103872,1017.699565914389,2.482788368292882,23.13971933812798,10.148604751380416
735538.0659722222,25.822349236937107,1017.3634669541439,2.52273442274429,22.70042521738162,10.113023347884566
735538.0694444445,25.30408328292093,1016.99834226117,2.5288526063247674,22.22372187876749,10.075527559676553
735538.0729166667,26.0662710668161,1017.6219071437907,2.552792893765785,23.010758307356173,9.995268409059221
735538.0763888889,26.932302617104853,1018.2904101670259,2.5857649325823466,23.86609802257067,9.974367797700511
735538.0798611111,25.50410486050771,1017.1782129991127,2.614771543124855,22.445797007987867,10.028410001026721
735538.0833333334,25.727193294058623,1017.3535817020582,2.640783656526245,22.66901295036882,10.016342273844819
735538.0868055556,25.99647112669521,1017.5619965846917,2.6677819261208655,22.93530124777878,10.007430025881266
735538.0902777779,26.4175842829134,1017.8932022301093,2.682823358007032,23.357101965546324,9.986768527855059
735538.09375,26.933873727090994,1018.2958756541602,2.7047952600207203,23.871281219927674,9.968663971860298
735538.0972222222,27.68036536027192,1018.8741899406651,2.7407480165016986,24.611327790714665,9.952256944158043
735538.1006944445,28.071241832010273,1019.1790640146504,2.7528321082580245,25.00117527506787,9.942034771472743
735538.1041666667,28.440016471313072,1019.46733574111,2.785762604549731,25.369468077295952,9.932930446758846
735538.1076388889,29.106728287914574,1019.9967595507546,2.811787667550909,26.044480943625224,9.90668633311044
735538.1111111111,29.815394054375194,1020.5762669497951,2.8337958735747963,26.779521343358606,9.859764804000742
735538.1145833334,30.488452382058416,1021.1353746504936,2.8677559105363133,27.48676455342404,9.80807806899728
735538.1180555556,31.602677769352205,1022.066447796292,2.895778344947537,28.66481164915375,9.725080969782404
735538.1215277779,32.71052459511088,1023.0075775233211,2.9098265652583035,29.853556011020824,9.634998942884685
735538.125,33.252915215728166,1023.4747506001603,2.931795097048718,30.442520629920665,9.587467879648715
735538.1284722222,33.641400200777035,1023.8148183341511,2.972730353034953,30.870114218735296,9.548834311842665
735538.1319444445,34.04695436485164,1024.1770622584033,2.999780774572674,31.324347954713136,9.501561593092822
735538.1354166667,34.31060761220506,1024.406631787787,3.0307690674723204,31.613631938603845,9.47887578173728
735538.1388888889,34.387917722469176,1024.4742792407105,3.046820375803988,31.698722323635877,9.472022372029338
735538.1423611111,34.602534102197616,1024.6656260450052,3.066802739022664,31.938754569490268,9.449080818377904
735538.1458333334,34.773301148313834,1024.8211636134113,3.092783272943121,32.13332899901648,9.427275245995066
